Riding	Poll	R	FPTP	MMP	Rejected	Unmarked	Declined	Voter turnout	Number of names	Location of voting place	AHMED (SN)	BOYDEN (COM)	FERNANDEZ (IND)	GONZÁLEZ (NDPo)	GREEN (LIB)	LEROUX (IND)	MCLEAN (GPO)	SMITHERMAN (LPO)	TAYLOR (PCO)	% LPO	% MMP	.4LPO*0.6MMP	% votes wasted	% participation	Location of voting placed
94	011		80	62	0	1	0	143	280	Rosedale United Church	0	0	0	19	0	0	24	52	46	0.3688	0.4336	0.4077	0.6312	51.07%	Rosedale United Church
94	012		117	106	0	0	1	224	461	Our Lady of Perpetual Help School	0	6	0	18	1	1	22	121	54	0.5426	0.4732	0.5010	0.4574	48.59%	Our Lady of Perpetual Help School
94	013		181	80	0	2	0	263	445	Rosedale United Church	0	1	0	11	0	1	26	88	135	0.3359	0.3042	0.3169	0.6641	59.10%	Rosedale United Church
94	014		153	52	0	1	0	206	403	Rosedale United Church	0	1	0	2	1	0	14	72	115	0.3512	0.2524	0.2919	0.6488	51.12%	Rosedale United Church
94	015		112	82	0	1	0	195	407	Our Lady of Perpetual Help School	2	0	0	14	1	0	24	91	63	0.4667	0.4205	0.4390	0.5333	47.91%	Our Lady of Perpetual Help School
94	016		150	66	0	5	0	221	362	Rosedale Junior Public School	0	1	0	8	0	1	17	74	120	0.3348	0.2986	0.3131	0.6652	61.05%	Rosedale Junior Public School
94	017		151	53	0	1	1	206	409	Rosedale United Church	0	0	0	1	0	0	15	79	109	0.3873	0.2573	0.3093	0.6127	50.37%	Rosedale United Church
94	018		97	39	0	4	0	140	268	Rosedale Junior Public School	0	0	0	6	1	0	8	62	61	0.4493	0.2786	0.3469	0.5507	52.24%	Rosedale Junior Public School
94	019		79	55	3	5	2	144	331	Jesse Ketchum Junior and Senior Public School	0	0	0	19	2	1	12	57	49	0.4071	0.3819	0.3920	0.5929	43.50%	Jesse Ketchum Junior and Senior Public School
94	020		84	50	0	0	1	135	290	877 Yonge Street - Fellowship Towers	0	0	1	11	1	0	13	60	49	0.4444	0.3704	0.4000	0.5556	46.55%	877 Yonge Street - Fellowship Towers
94	021		125	54	0	3	1	183	349	Rosedale Junior Public School	1	0	0	5	1	0	11	67	98	0.3661	0.2951	0.3235	0.6339	52.44%	Rosedale Junior Public School
94	022		102	40	0	0	0	142	251	Rosedale Presbyterian	0	0	0	8	0	0	15	56	63	0.3944	0.2817	0.3268	0.6056	56.57%	Rosedale Presbyterian
94	023		79	41	0	0	0	120	241	Rosedale Presbyterian	0	0	0	5	1	1	15	37	57	0.3190	0.3417	0.3326	0.6810	49.79%	Rosedale Presbyterian
94	024		87	54	0	0	0	141	326	877 Yonge Street - Fellowship Towers	0	0	0	15	0	0	25	51	43	0.3806	0.3830	0.3820	0.6194	43.25%	877 Yonge Street - Fellowship Towers
94	025		100	58	0	3	0	161	300	Rosedale Junior Public School	0	2	0	8	1	0	16	71	63	0.4410	0.3602	0.3925	0.5590	53.67%	Rosedale Junior Public School
94	026		107	60	2	1	11	181	300	Rosedale Presbyterian	0	0	0	9	1	0	20	81	59	0.4765	0.3315	0.3895	0.5235	60.33%	Rosedale Presbyterian
94	028		103	86	0	0	2	191	441	877 Yonge Street - Fellowship Towers	0	0	0	17	0	0	25	84	63	0.4444	0.4503	0.4479	0.5556	43.31%	877 Yonge Street - Fellowship Towers
94	030		106	44	1	10	4	165	291	877 Yonge Street - Fellowship Towers	0	1	0	22	2	2	7	84	43	0.5217	0.2667	0.3687	0.4783	56.70%	877 Yonge Street - Fellowship Towers
94	031		85	68	0	2	0	155	296	Branksome Hall	0	0	0	17	1	0	26	67	44	0.4323	0.4387	0.4361	0.5677	52.36%	Branksome Hall
94	032		102	61	0	2	0	165	340	Branksome Hall	0	0	0	5	1	1	18	84	56	0.5091	0.3697	0.4255	0.4909	48.53%	Branksome Hall
94	034		55	35	1	1	0	92	248	Jesse Ketchum Junior and Senior Public School	0	0	0	9	1	0	10	37	35	0.4022	0.3804	0.3891	0.5978	37.10%	Jesse Ketchum Junior and Senior Public School
94	035		72	31	0	2	2	107	278	Jesse Ketchum Junior and Senior Public School	1	0	1	8	1	0	6	54	36	0.5047	0.2897	0.3757	0.4953	38.49%	Jesse Ketchum Junior and Senior Public School
94	036		95	65	0	4	0	164	343	877 Yonge Street - Fellowship Towers	0	0	0	18	4	0	11	85	45	0.5215	0.3963	0.4464	0.4785	47.81%	877 Yonge Street - Fellowship Towers
94	037		62	62	0	3	0	127	386	École élémentaire catholique Sacré-Coeur	1	1	0	13	2	0	16	56	37	0.4444	0.4882	0.4707	0.5556	32.90%	École élémentaire catholique Sacré-Coeur
94	038		13	24	0	0	0	37	125	École élémentaire catholique Sacré-Coeur	0	1	2	12	1	0	3	13	5	0.3514	0.6486	0.5297	0.6486	29.60%	École élémentaire catholique Sacré-Coeur
94	039		36	17	0	1	1	55	141	Church of the Redeemer	0	0	0	6	0	0	6	24	19	0.4364	0.3091	0.3600	0.5636	39.01%	Church of the Redeemer
94	040		63	42	0	0	1	106	362	Church of the Redeemer	3	0	0	15	0	0	3	49	35	0.4667	0.3962	0.4244	0.5333	29.28%	Church of the Redeemer
94	042		34	52	0	1	1	88	244	877 Yonge Street - Fellowship Towers	1	0	0	20	1	0	13	41	11	0.4713	0.5909	0.5431	0.5287	36.07%	877 Yonge Street - Fellowship Towers
94	043		40	51	1	2	0	94	250	Church Street Community Centre (519 Church Street)	1	0	0	19	3	0	8	54	9	0.5745	0.5426	0.5553	0.4255	37.60%	Church Street Community Centre (519 Church Street)
94	044		37	55	0	1	0	93	216	École élémentaire catholique Sacré-Coeur	0	1	0	29	0	0	13	39	8	0.4333	0.5914	0.5282	0.5667	43.06%	École élémentaire catholique Sacré-Coeur
94	045		23	43	0	0	0	66	166	École élémentaire catholique Sacré-Coeur	1	1	0	24	1	0	9	26	3	0.4000	0.6515	0.5509	0.6000	39.76%	École élémentaire catholique Sacré-Coeur
94	046		94	81	2	1	0	178	300	St. Martin's School / A.P.P.L.E. Alternative	0	1	0	20	2	0	35	86	34	0.4831	0.4551	0.4663	0.5169	59.33%	St. Martin's School / A.P.P.L.E. Alternative
94	047		84	93	0	2	0	179	314	St. Martin's School / A.P.P.L.E. Alternative	0	0	2	26	1	0	28	87	34	0.4888	0.5196	0.5072	0.5112	57.01%	St. Martin's School / A.P.P.L.E. Alternative
94	048		29	25	0	0	1	55	150	877 Yonge Street - Fellowship Towers	0	0	0	7	1	1	7	29	10	0.5273	0.4545	0.4836	0.4727	36.67%	877 Yonge Street - Fellowship Towers
94	049		30	34	1	0	0	65	156	Church Street Community Centre (519 Church Street)	0	0	0	20	3	0	9	24	9	0.3692	0.5231	0.4615	0.6308	41.67%	Church Street Community Centre (519 Church Street)
94	050		40	56	0	1	0	97	184	Church Street Community Centre (519 Church Street)	0	0	0	32	0	0	18	37	10	0.3814	0.5773	0.4990	0.6186	52.72%	Church Street Community Centre (519 Church Street)
94	051		38	58	0	0	0	96	230	Church Street Community Centre (519 Church Street)	0	0	0	35	5	1	8	43	4	0.4479	0.6042	0.5417	0.5521	41.74%	Church Street Community Centre (519 Church Street)
94	053		58	60	0	1	1	120	234	École élémentaire catholique Sacré-Coeur	0	0	0	37	0	0	8	59	16	0.4917	0.5000	0.4967	0.5083	51.28%	École élémentaire catholique Sacré-Coeur
94	055		46	47	1	4	2	100	243	Winchester Junior and Senior Public School	0	0	0	18	1	1	10	55	13	0.5612	0.4700	0.5065	0.4388	41.15%	Winchester Junior and Senior Public School
94	056		62	87	1	2	2	154	301	St. Martin's School / A.P.P.L.E. Alternative	0	0	1	24	1	1	36	73	16	0.4803	0.5649	0.5311	0.5197	51.16%	St. Martin's School / A.P.P.L.E. Alternative
94	057		90	89	1	0	0	180	325	St. Martin's School / A.P.P.L.E. Alternative	0	0	0	17	0	0	24	95	43	0.5307	0.4944	0.5090	0.4693	55.38%	St. Martin's School / A.P.P.L.E. Alternative
94	060		112	162	0	7	0	281	777	St. Joseph's College School	3	2	1	82	12	0	39	98	41	0.3525	0.5765	0.4869	0.6475	36.16%	St. Joseph's College School
94	061		54	94	0	0	2	150	347	Church Street Community Centre (519 Church Street)	2	2	0	45	3	0	16	66	15	0.4430	0.6267	0.5532	0.5570	43.23%	Church Street Community Centre (519 Church Street)
94	062		53	71	0	0	0	124	220	Church Street Community Centre (519 Church Street)	1	0	1	27	2	0	15	62	16	0.5000	0.5726	0.5435	0.5000	56.36%	Church Street Community Centre (519 Church Street)
94	063		46	84	0	0	0	130	252	Church Street Community Centre (519 Church Street)	1	0	0	34	5	0	19	52	17	0.4063	0.6462	0.5502	0.5938	51.59%	Church Street Community Centre (519 Church Street)
94	064		36	44	0	0	0	80	205	Church Street Junior Public School	1	0	0	27	1	0	1	45	5	0.5625	0.5500	0.5550	0.4375	39.02%	Church Street Junior Public School
94	065		34	38	0	2	0	74	192	Le Collège français	0	0	0	22	2	0	9	40	1	0.5405	0.5135	0.5243	0.4595	38.54%	Le Collège français
94	066		25	31	0	1	0	57	198	Wellesley Community Centre	0	0	0	11	0	0	6	35	5	0.6140	0.5439	0.5719	0.3860	28.79%	Wellesley Community Centre
94	067		30	56	1	2	0	89	245	Our Lady of Lourdes Catholic School	0	1	0	36	2	0	2	41	7	0.4607	0.6292	0.5618	0.5393	36.33%	Our Lady of Lourdes Catholic School
94	069		33	69	1	1	0	104	250	Our Lady of Lourdes Catholic School	1	0	0	40	2	0	11	48	2	0.4615	0.6635	0.5827	0.5385	41.60%	Our Lady of Lourdes Catholic School
94	070		52	83	1	1	1	138	287	Winchester Junior and Senior Public School	1	0	3	29	1	0	19	68	17	0.4928	0.6014	0.5580	0.5072	48.08%	Winchester Junior and Senior Public School
94	071		80	55	0	0	0	135	290	Winchester Junior and Senior Public School	0	0	0	19	0	0	26	63	22	0.4846	0.4074	0.4383	0.5154	46.55%	Winchester Junior and Senior Public School
94	072		62	108	0	0	10	180	372	St. Martin's School / A.P.P.L.E. Alternative	0	0	2	49	1	0	28	76	24	0.4222	0.6000	0.5289	0.5778	48.39%	St. Martin's School / A.P.P.L.E. Alternative
94	073		80	118	0	1	0	199	339	St. Martin's School / A.P.P.L.E. Alternative	1	0	1	35	1	0	35	87	39	0.4372	0.5930	0.5307	0.5628	58.70%	St. Martin's School / A.P.P.L.E. Alternative
94	074		103	124	1	2	5	235	434	Sprucecourt Junior Public School	0	1	1	45	1	0	23	135	26	0.5819	0.5277	0.5494	0.4181	54.15%	Sprucecourt Junior Public School
94	075		45	57	0	1	0	103	266	Church Street Junior Public School	1	1	0	28	0	1	15	48	9	0.4660	0.5534	0.5184	0.5340	38.72%	Church Street Junior Public School
94	076		20	37	1	0	0	58	166	Church Street Junior Public School	0	0	0	16	0	0	11	26	5	0.4483	0.6379	0.5621	0.5517	34.94%	Church Street Junior Public School
94	077		66	75	1	3	0	145	257	Church Street Junior Public School	0	0	0	30	3	0	19	82	10	0.5694	0.5172	0.5381	0.4306	56.42%	Church Street Junior Public School
94	078		45	69	0	0	0	114	243	Le Collège français	0	0	0	35	2	0	12	52	12	0.4602	0.6053	0.5472	0.5398	46.91%	Le Collège français
94	080		43	37	0	0	0	80	208	Our Lady of Lourdes Catholic School	1	0	0	20	1	0	10	43	4	0.5443	0.4625	0.4952	0.4557	38.46%	Our Lady of Lourdes Catholic School
94	081		22	51	0	0	2	75	198	Winchester Junior and Senior Public School	1	0	1	20	0	0	7	40	3	0.5556	0.6800	0.6302	0.4444	37.88%	Winchester Junior and Senior Public School
94	082		38	58	0	1	0	97	275	Parliament Street Public Library	0	0	2	28	2	1	7	43	14	0.4433	0.5979	0.5361	0.5567	35.27%	Parliament Street Public Library
94	083		54	89	0	3	0	146	277	Sprucecourt Junior Public School	0	1	1	27	2	0	27	78	9	0.5379	0.6096	0.5809	0.4621	52.71%	Sprucecourt Junior Public School
94	084		53	57	0	3	0	113	298	Sprucecourt Junior Public School	1	1	2	32	2	0	6	52	17	0.4602	0.5044	0.4867	0.5398	37.92%	Sprucecourt Junior Public School
94	085		91	125	1	2	2	221	333	Sprucecourt Junior Public School	0	0	0	71	0	1	32	87	29	0.3955	0.5656	0.4975	0.6045	66.37%	Sprucecourt Junior Public School
94	086		64	79	0	2	0	145	486	St. Joseph's College School	3	0	1	44	3	1	13	69	10	0.4792	0.5448	0.5186	0.5208	29.84%	St. Joseph's College School
94	087		25	27	0	2	0	54	131	Church Street Junior Public School	0	0	0	17	2	0	6	26	3	0.4815	0.5000	0.4926	0.5185	41.22%	Church Street Junior Public School
94	088		58	68	4	0	0	130	462	Le Collège français	0	2	0	30	1	0	15	65	15	0.5078	0.5231	0.5170	0.4922	28.14%	Le Collège français
94	090		21	50	0	2	2	75	230	Parliament Street Public Library	0	0	0	19	1	0	11	37	7	0.4933	0.6667	0.5973	0.5067	32.61%	Parliament Street Public Library
94	091		54	85	1	2	2	144	290	Parliament Street Public Library	0	0	0	34	2	0	23	65	20	0.4514	0.5903	0.5347	0.5486	49.66%	Parliament Street Public Library
94	092		51	76	0	5	1	133	321	Lord Dufferin Junior and Senior Public School	1	0	1	36	0	0	20	54	20	0.4091	0.5714	0.5065	0.5909	41.43%	Lord Dufferin Junior and Senior Public School
94	093		74	101	0	13	0	188	580	Sprucecourt Junior Public School	6	0	2	62	2	2	5	100	7	0.5376	0.5372	0.5374	0.4624	32.41%	Sprucecourt Junior Public School
94	094		58	79	1	11	0	149	393	Sprucecourt Junior Public School	1	1	1	32	4	2	2	104	2	0.6980	0.5302	0.5973	0.3020	37.91%	Sprucecourt Junior Public School
94	095		60	58	2	12	97	229	743	Sprucecourt Junior Public School	3	1	2	89	6	1	1	115	10	0.5044	0.2533	0.3537	0.4956	30.82%	Sprucecourt Junior Public School
94	096		23	43	3	28	8	105	141	120 Cornwall Street - Oak Street Co-operative	0	2	0	29	1	0	11	44	11	0.4490	0.4095	0.4253	0.5510	74.47%	120 Cornwall Street - Oak Street Co-operative
94	097		67	79	0	0	0	146	339	Ryerson University International Learning Centre	0	1	0	23	1	0	19	80	22	0.5479	0.5411	0.5438	0.4521	43.07%	Ryerson University International Learning Centre
94	098		73	173	1	3	0	250	364	Ryerson University - 110 Pitman Hall	0	0	0	124	5	0	49	54	13	0.2204	0.6920	0.5034	0.7796	68.68%	Ryerson University - 110 Pitman Hall
94	099		45	65	0	1	0	111	412	John Innes Community Centre	3	0	2	37	1	2	9	44	11	0.4037	0.5856	0.5128	0.5963	26.94%	John Innes Community Centre
94	100		21	28	0	1	0	50	197	John Innes Community Centre	0	0	0	15	0	0	8	17	10	0.3400	0.5600	0.4720	0.6600	25.38%	John Innes Community Centre
94	101		36	50	1	0	0	87	269	Lord Dufferin Junior and Senior Public School	0	0	19	1	0	7	46	13	0	0.1512	0.5747	0.4053	0.8488	32.34%	Lord Dufferin Junior and Senior Public School
94	102		31	58	0	0	0	89	247	Lord Dufferin Junior and Senior Public School	0	0	0	22	1	0	10	38	18	0.4270	0.6517	0.5618	0.5730	36.03%	Lord Dufferin Junior and Senior Public School
94	104		120	105	1	29	0	255	710	Regent Park South Community Centre	2	2	1	65	12	3	3	153	10	0.6096	0.4118	0.4909	0.3904	35.92%	Regent Park South Community Centre
94	105		64	82	2	23	2	173	566	Regent Park South Community Centre	0	2	0	49	3	1	6	104	8	0.6012	0.4740	0.5249	0.3988	30.57%	Regent Park South Community Centre
94	106		55	64	3	0	8	130	260	Dixon Hall	0	1	2	37	0	0	15	49	26	0.3769	0.4923	0.4462	0.6231	50.00%	Dixon Hall
94	107		27	52	0	3	0	82	175	Dixon Hall	0	2	2	19	5	0	3	43	8	0.5244	0.6341	0.5902	0.4756	46.86%	Dixon Hall
94	108		42	52	0	0	0	94	306	Ryerson University International Learning Centre	1	0	0	25	1	0	10	41	16	0.4362	0.5532	0.5064	0.5638	30.72%	Ryerson University International Learning Centre
94	109		24	19	0	3	0	46	222	John Innes Community Centre	1	2	0	10	1	0	1	24	6	0.5333	0.4130	0.4612	0.4667	20.72%	John Innes Community Centre
94	110		33	36	1	3	0	73	283	John Innes Community Centre	1	1	1	15	2	0	2	27	22	0.3803	0.4932	0.4480	0.6197	25.80%	John Innes Community Centre
94	111		56	72	1	1	1	131	303	Lord Dufferin Junior and Senior Public School	0	0	0	22	2	0	25	58	24	0.4427	0.5496	0.5069	0.5573	43.23%	Lord Dufferin Junior and Senior Public School
94	113		76	91	1	0	1	169	407	Lord Dufferin Junior and Senior Public School	0	1	1	24	4	2	22	77	38	0.4556	0.5385	0.5053	0.5444	41.52%	Lord Dufferin Junior and Senior Public School
94	114		40	54	0	6	0	100	297	Regent Park South Community Centre	3	1	1	14	0	0	14	55	11	0.5556	0.5400	0.5462	0.4444	33.67%	Regent Park South Community Centre
94	115		38	76	0	5	0	119	260	Dixon Hall	1	0	1	37	2	0	17	46	14	0.3898	0.6387	0.5391	0.6102	45.77%	Dixon Hall
94	116		16	28	0	0	1	45	139	Ryerson University International Learning Centre	4	1	0	11	3	1	4	19	2	0.4222	0.6222	0.5422	0.5778	32.37%	Ryerson University International Learning Centre
94	117		63	70	0	4	1	138	342	Ryerson University International Learning Centre	0	0	0	38	0	1	9	69	20	0.5036	0.5072	0.5058	0.4964	40.35%	Ryerson University International Learning Centre
94	118		66	63	0	0	0	129	317	John Innes Community Centre	2	0	0	27	2	0	11	54	32	0.4219	0.4884	0.4618	0.5781	40.69%	John Innes Community Centre
94	119		12	34	0	0	0	46	149	Regent Park South Community Centre	0	1	0	13	0	1	7	20	4	0.4348	0.7391	0.6174	0.5652	30.87%	Regent Park South Community Centre
94	120		50	79	0	2	0	131	307	Dixon Hall	0	0	1	28	1	0	25	52	23	0.4000	0.6031	0.5218	0.6000	42.67%	Dixon Hall
94	121		34	59	0	0	0	93	191	Dixon Hall	1	1	0	27	0	0	17	34	13	0.3656	0.6344	0.5269	0.6344	48.69%	Dixon Hall
94	122		74	139	0	1	16	230	431	Ryerson University International Learning Centre	2	1	2	50	1	3	35	91	42	0.4009	0.6043	0.5230	0.5991	53.36%	Ryerson University International Learning Centre
94	123		44	52	2	2	1	101	247	Fred Victor Centre	3	0	0	16	1	0	17	47	15	0.4747	0.5149	0.4988	0.5253	40.89%	Fred Victor Centre
94	124		48	59	0	4	0	111	251	John Innes Community Centre	0	0	0	23	3	0	14	58	13	0.5225	0.5315	0.5279	0.4775	44.22%	John Innes Community Centre
94	126		141	133	2	4	0	280	535	St. Lawrence Market North	2	0	2	47	2	0	41	130	53	0.4693	0.4750	0.4727	0.5307	52.34%	St. Lawrence Market North
94	127		45	47	0	0	0	92	134	St. Lawrence Market North	0	0	1	15	2	0	8	44	22	0.4783	0.5109	0.4978	0.5217	68.66%	St. Lawrence Market North
94	128		34	50	0	0	0	84	243	St. Lawrence Market North	0	0	0	9	0	0	10	45	20	0.5357	0.5952	0.5714	0.4643	34.57%	St. Lawrence Market North
94	129		86	58	0	3	0	147	359	St. Lawrence Community Centre	3	0	3	31	2	0	24	51	33	0.3469	0.3946	0.3755	0.6531	40.95%	St. Lawrence Community Centre
94	131		51	29	0	1	0	81	201	St. Michael Catholic School	0	1	0	6	3	0	5	45	21	0.5556	0.3580	0.4370	0.4444	40.30%	St. Michael Catholic School
94	132		44	59	0	4	0	107	253	St. Lawrence Community Centre	0	1	1	26	6	1	12	46	14	0.4299	0.5514	0.5028	0.5701	42.29%	St. Lawrence Community Centre
94	133		55	63	0	0	0	118	336	St. Lawrence Market North	3	0	0	25	1	0	9	58	22	0.4915	0.5339	0.5169	0.5085	35.12%	St. Lawrence Market North
94	134		69	102	0	0	2	173	275	St. Lawrence Community Centre	0	0	0	43	4	0	30	61	34	0.3547	0.5896	0.4956	0.6453	62.91%	St. Lawrence Community Centre
94	135		45	77	1	1	0	124	220	St. Michael Catholic School	3	3	0	37	0	0	16	49	15	0.3984	0.6210	0.5319	0.6016	56.36%	St. Michael Catholic School
94	400		109	72	0	2	1	184	336	7 Jackes Avenue - Summerhill Apartments	0	1	0	31	1	0	18	95	38	0.5163	0.3913	0.4413	0.4837	54.76%	7 Jackes Avenue - Summerhill Apartments
94	401		52	32	0	3	0	87	129	1177 Yonge Street - The Ports	0	0	0	1	1	0	9	48	28	0.5517	0.3678	0.4414	0.4483	67.44%	1177 Yonge Street - The Ports
94	402		72	43	0	8	0	123	203	20 Scrivener Square - Thornwood I	0	0	0	8	0	1	9	52	53	0.4228	0.3496	0.3789	0.5772	60.59%	20 Scrivener Square - Thornwood I
94	403		64	33	1	1	0	99	173	25 Scrivener Square - Thornwood II	0	0	0	4	1	0	4	39	51	0.3939	0.3333	0.3576	0.6061	57.23%	25 Scrivener Square - Thornwood II
94	404		47	20	0	1	0	68	140	Church of the Redeemer	0	0	0	4	0	0	5	25	34	0.3676	0.2941	0.3235	0.6324	48.57%	Church of the Redeemer
94	405		101	124	0	0	4	229	442	50 Hillsboro Avenue - Ramsden Place Apartments	1	0	2	49	5	0	28	102	42	0.4454	0.5415	0.5031	0.5546	51.81%	50 Hillsboro Avenue - Ramsden Place Apartments
94	406		41	32	0	1	0	74	142	77 McMurrich Street	0	0	0	5	0	0	3	32	33	0.4384	0.4324	0.4348	0.5616	52.11%	77 McMurrich Street
94	407		72	67	0	1	0	140	303	942 Yonge Street - Memphis Condominium	1	0	0	14	2	0	16	73	33	0.5252	0.4786	0.4972	0.4748	46.20%	942 Yonge Street - Memphis Condominium
94	408		56	39	0	0	0	95	158	980 Yonge Street - The Ramsden	0	0	0	0	7	2	0	13	48	0.1857	0.4105	0.3206	0.8143	60.13%	980 Yonge Street - The Ramsden
94	409		35	29	1	1	0	66	111	914 Yonge Street	0	0	0	8	0	0	4	37	16	0.5692	0.4394	0.4913	0.4308	59.46%	914 Yonge Street
94	410		63	31	0	2	0	96	142	120 Rosedale Valley Road - Arbour Glen Apartments	1	1	0	6	3	0	4	56	25	0.5833	0.3229	0.4271	0.4167	67.61%	120 Rosedale Valley Road - Arbour Glen Apartments
94	411		31	26	2	2	0	61	106	120 Rosedale Valley Road - Arbour Glen Apartments	0	0	0	12	0	0	4	35	8	0.5932	0.4262	0.4930	0.4068	57.55%	120 Rosedale Valley Road - Arbour Glen Apartments
94	412		51	29	0	0	2	82	144	Branksome Hall	0	0	0	13	0	0	5	50	14	0.6098	0.3537	0.4561	0.3902	56.94%	Branksome Hall
94	413		127	81	0	0	1	209	300	21 Dale Avenue - Kensington Apartments	0	0	0	15	1	0	23	102	68	0.4880	0.3876	0.4278	0.5120	69.67%	21 Dale Avenue - Kensington Apartments
94	414		27	28	0	2	0	57	124	Church of the Redeemer	0	1	0	8	1	0	9	23	15	0.4035	0.4912	0.4561	0.5965	45.97%	Church of the Redeemer
94	415		54	48	0	1	0	103	148	15 McMurrich Street - The St. George	0	0	0	8	2	0	11	48	34	0.4660	0.4660	0.4660	0.5340	69.59%	15 McMurrich Street - The St. George
94	416		43	29	0	10	0	82	143	18 Davenport Road - McMurrich Place	2	1	0	19	5	2	5	31	15	0.3875	0.3537	0.3672	0.6125	57.34%	18 Davenport Road - McMurrich Place
94	417		31	34	0	0	1	66	190	877 Yonge Street - Fellowship Towers	0	1	0	26	1	0	6	25	7	0.3788	0.5152	0.4606	0.6212	34.74%	877 Yonge Street - Fellowship Towers
94	418		67	72	0	2	1	142	280	8 Park Road	0	1	0	16	0	0	10	69	46	0.4859	0.5070	0.4986	0.5141	50.71%	8 Park Road
94	419		135	62	1	0	3	201	283	278 Bloor Street East - Rosedale Glen	0	0	1	13	4	0	10	97	75	0.4850	0.3085	0.3791	0.5150	71.02%	278 Bloor Street East - Rosedale Glen
94	420		117	70	0	1	0	188	308	300 Bloor Street East - The Bellagio on Bloor	0	1	0	20	4	1	13	67	81	0.3583	0.3723	0.3667	0.6417	61.04%	300 Bloor Street East - The Bellagio on Bloor
94	421		97	80	0	2	0	179	576	École élémentaire catholique Sacré-Coeur	1	1	2	45	2	0	19	82	27	0.4581	0.4469	0.4514	0.5419	31.08%	École élémentaire catholique Sacré-Coeur
94	422		104	46	1	2	1	154	275	360 Bloor Street East - 360 on Bloor	1	0	0	11	0	0	14	78	49	0.5098	0.2987	0.3831	0.4902	56.00%	360 Bloor Street East - 360 on Bloor
94	423		57	68	2	19	0	146	376	Rose Avenue Junior Public School	3	2	3	23	4	2	7	87	9	0.6214	0.4658	0.5280	0.3786	38.83%	Rose Avenue Junior Public School
94	424		78	69	0	0	8	155	490	Rose Avenue Junior Public School	1	0	4	33	2	1	3	82	29	0.5290	0.4452	0.4787	0.4710	31.63%	Rose Avenue Junior Public School
94	425		48	48	0	4	0	100	266	Rose Avenue Junior Public School	1	0	1	22	1	0	5	56	13	0.5657	0.4800	0.5143	0.4343	37.59%	Rose Avenue Junior Public School
94	426		19	21	0	1	0	41	94	55 Bloor Street East - Signatures on Bloor	0	0	0	5	0	0	6	22	7	0.5500	0.5122	0.5273	0.4500	43.62%	55 Bloor Street East - Signatures on Bloor
94	427		57	57	0	1	1	116	234	85 Bloor Street East	0	0	1	18	2	0	6	55	34	0.4741	0.4914	0.4845	0.5259	49.57%	85 Bloor Street East
94	428		41	45	0	0	0	86	173	100 Hayden Street - Bloor Walk Residences	0	0	0	12	2	1	10	45	15	0.5294	0.5233	0.5257	0.4706	49.71%	100 Hayden Street - Bloor Walk Residences
94	429		15	21	0	1	0	37	134	École élémentaire catholique Sacré-Coeur	0	0	0	11	0	0	3	17	6	0.4595	0.5676	0.5243	0.5405	27.61%	École élémentaire catholique Sacré-Coeur
