Riding	Poll	R	FPTP	MMP	Rejected	Unmarked	Declined	Voter turnout	Number of names	Location of voting place	AHMED (SN)	BOYDEN (COM)	FERNANDEZ (IND)	GONZÁLEZ (NDPo)	GREEN (LIB)	LEROUX (IND)	MCLEAN (GPO)	SMITHERMAN (LPO)	TAYLOR (PCO)	% LPO	% MMP	.4LPO*0.6MMP	Location of voting placed
94	465		14	35	0	0	0	49	97	Church Street Community Centre (519 Church Street)	0	0	0	23	0	0	3	18	4	37.50%	71.43%	57.86%	Church Street Community Centre (519 Church Street)
94	029s		30	65	1	9	3	108	228	Belmont House	0	0	0	11	3	0	7	57	27	54.29%	60.19%	57.83%	Belmont House
94	539		20	33	1	2	0	56	137	110 George Street South - Marketview Co-operative	1	0	0	14	1	1	4	30	3	55.56%	58.93%	57.58%	110 George Street South - Marketview Co-operative
94	66		25	31	0	1	0	57	198	Wellesley Community Centre	0	0	0	11	0	0	6	35	5	61.40%	54.39%	57.19%	Wellesley Community Centre
94	128		34	50	0	0	0	84	243	St. Lawrence Market North	0	0	0	9	0	0	10	45	20	53.57%	59.52%	57.14%	St. Lawrence Market North
94	549		29	44	1	4	0	78	206	85 The Esplanade - Old York Tower	1	0	1	18	2	1	3	43	5	58.11%	56.41%	57.09%	85 The Esplanade - Old York Tower
94	450		36	99	1	1	1	138	465	University of Toronto - 30 Charles Street West	0	0	0	58	4	0	9	48	19	34.78%	71.74%	56.96%	University of Toronto - 30 Charles Street West
94	464		23	35	0	0	0	58	181	Church Street Community Centre (519 Church Street)	0	0	0	14	0	0	8	30	6	51.72%	60.34%	56.90%	Church Street Community Centre (519 Church Street)
94	461		89	138	0	0	1	228	464	44 St. Joseph Street - Polo Club II	0	1	0	38	1	0	21	115	49	51.11%	60.53%	56.76%	44 St. Joseph Street - Polo Club II
94	459		16	33	0	0	0	49	115	École élémentaire catholique Sacré-Coeur	0	1	0	10	0	0	11	20	7	40.82%	67.35%	56.73%	École élémentaire catholique Sacré-Coeur
94	507		43	70	0	2	0	115	202	117 Gerrard Street East	0	0	0	26	3	0	16	57	12	50.00%	60.87%	56.52%	117 Gerrard Street East
94	457		59	79	0	3	0	141	329	105 Isabella Street	0	1	0	27	2	0	16	80	14	57.14%	56.03%	56.47%	105 Isabella Street
94	560		59	84	0	1	0	144	327	7 Carlton Street - The Ellington	2	0	3	20	0	0	19	77	23	53.47%	58.33%	56.39%	7 Carlton Street - The Ellington
94	515		25	33	0	0	0	58	168	John Innes Community Centre	2	0	0	13	3	0	3	31	4	55.36%	56.90%	56.28%	John Innes Community Centre
94	463		76	102	0	0	2	180	289	30 Gloucester Street - Gloucester Village Gate	0	0	0	27	5	3	25	99	19	55.62%	56.67%	56.25%	30 Gloucester Street - Gloucester Village Gate
94	76		20	37	1	0	0	58	166	Church Street Junior Public School	0	0	0	16	0	0	11	26	5	44.83%	63.79%	56.21%	Church Street Junior Public School
94	67		30	56	1	2	0	89	245	Our Lady of Lourdes Catholic School	0	1	0	36	2	0	2	41	7	46.07%	62.92%	56.18%	Our Lady of Lourdes Catholic School
94	102		31	58	0	0	0	89	247	Lord Dufferin Junior and Senior Public School	0	0	0	22	1	0	10	38	18	42.70%	65.17%	56.18%	Lord Dufferin Junior and Senior Public School
94	479		27	40	0	0	0	67	115	Church Street Junior Public School	0	0	0	16	0	0	8	34	9	50.75%	59.70%	56.12%	Church Street Junior Public School
94	ADV004		297	369	2	9	0	677	0	St. Lawrence Market South	5	2	0	149	8	0	87	391	33	57.93%	54.51%	55.87%	St. Lawrence Market South
94	434		36	64	0	6	0	106	276	Rose Avenue Junior Public School	0	2	0	21	0	0	9	51	21	49.04%	60.38%	55.84%	Rose Avenue Junior Public School
94	70		52	83	1	1	1	138	287	Winchester Junior and Senior Public School	1	0	3	29	1	0	19	68	17	49.28%	60.14%	55.80%	Winchester Junior and Senior Public School
94	125A		101	155	1	3	1	261	439	St. Lawrence Community Centre	0	0	0	57	3	0	37	131	32	50.38%	59.39%	55.79%	St. Lawrence Community Centre
94	435C		47	60	1	7	0	115	403	Rose Avenue Junior Public School	1	3	0	20	1	0	4	69	15	61.06%	52.17%	55.73%	Rose Avenue Junior Public School
94	466		114	162	0	4	3	283	529	100 Wellesley Street East - Plaza One Hundred	1	1	1	66	7	1	27	150	29	53.00%	57.24%	55.55%	100 Wellesley Street East - Plaza One Hundred
94	43		40	51	1	2	0	94	250	Church Street Community Centre (519 Church Street)	1	0	0	19	3	0	8	54	9	57.45%	54.26%	55.53%	Church Street Community Centre (519 Church Street)
94	495		26	40	0	1	0	67	224	Church Street Junior Public School	0	0	0	14	1	0	5	33	14	49.25%	59.70%	55.52%	Church Street Junior Public School
94	64		36	44	0	0	0	80	205	Church Street Junior Public School	1	0	0	27	1	0	1	45	5	56.25%	55.00%	55.50%	Church Street Junior Public School
94	468		155	177	0	3	1	336	603	15 Maitland Place - L'Esprit	3	0	0	52	3	1	42	200	35	59.52%	52.68%	55.42%	15 Maitland Place - L'Esprit
94	61		54	94	0	0	2	150	347	Church Street Community Centre (519 Church Street)	2	2	0	45	3	0	16	66	15	44.30%	62.67%	55.32%	Church Street Community Centre (519 Church Street)
94	508		36	56	0	0	0	92	182	Le Collège français	3	1	0	18	1	0	17	43	9	46.74%	60.87%	55.22%	Le Collège français
94	45		23	43	0	0	0	66	166	École élémentaire catholique Sacré-Coeur	1	1	0	24	1	0	9	26	3	40.00%	65.15%	55.09%	École élémentaire catholique Sacré-Coeur
94	63		46	84	0	0	0	130	252	Church Street Community Centre (519 Church Street)	1	0	0	34	5	0	19	52	17	40.63%	64.62%	55.02%	Church Street Community Centre (519 Church Street)
94	556		58	69	0	0	0	127	189	285 Mutual Street - Radio City	1	0	0	21	1	0	14	71	19	55.91%	54.33%	54.96%	285 Mutual Street - Radio City
94	74		103	124	1	2	5	235	434	Sprucecourt Junior Public School	0	1	1	45	1	0	23	135	26	58.19%	52.77%	54.94%	Sprucecourt Junior Public School
94	481		70	117	0	0	0	187	451	Our Lady of Lourdes Catholic School	0	0	1	48	2	0	18	80	37	43.01%	62.57%	54.74%	Our Lady of Lourdes Catholic School
94	78		45	69	0	0	0	114	243	Le Collège français	0	0	0	35	2	0	12	52	12	46.02%	60.53%	54.72%	Le Collège français
94	114		40	54	0	6	0	100	297	Regent Park South Community Centre	3	1	1	14	0	0	14	55	11	55.56%	54.00%	54.62%	Regent Park South Community Centre
94	437B		53	84	2	6	0	145	430	Rose Avenue Junior Public School	2	1	0	34	5	0	12	71	18	49.65%	57.93%	54.62%	Rose Avenue Junior Public School
94	529		54	77	0	1	0	132	255	255 Richmond Street East - Space Condo	1	2	0	29	2	0	15	64	18	48.85%	58.33%	54.54%	255 Richmond Street East - Space Condo
94	97		67	79	0	0	0	146	339	Ryerson University International Learning Centre	0	1	0	23	1	0	19	80	22	54.79%	54.11%	54.38%	Ryerson University International Learning Centre
94	483		66	79	0	1	0	146	487	Our Lady of Lourdes Catholic School	0	0	0	31	4	0	14	80	17	54.79%	54.11%	54.38%	Our Lady of Lourdes Catholic School
94	62		53	71	0	0	0	124	220	Church Street Community Centre (519 Church Street)	1	0	1	27	2	0	15	62	16	50.00%	57.26%	54.35%	Church Street Community Centre (519 Church Street)
94	42		34	52	0	1	1	88	244	877 Yonge Street - Fellowship Towers	1	0	0	20	1	0	13	41	11	47.13%	59.09%	54.31%	877 Yonge Street - Fellowship Towers
94	504		62	94	0	4	0	160	443	40 Gerrard Street East - Maple Leaf Apartments	0	0	0	49	3	0	12	76	20	47.50%	58.75%	54.25%	40 Gerrard Street East - Maple Leaf Apartments
94	116		16	28	0	0	1	45	139	Ryerson University International Learning Centre	4	1	0	11	3	1	4	19	2	42.22%	62.22%	54.22%	Ryerson University International Learning Centre
94	51		38	58	0	0	0	96	230	Church Street Community Centre (519 Church Street)	0	0	0	35	5	1	8	43	4	44.79%	60.42%	54.17%	Church Street Community Centre (519 Church Street)
94	523		30	56	0	1	1	88	285	275 Shuter Street	2	2	1	30	3	1	2	35	12	39.77%	63.64%	54.09%	275 Shuter Street
94	552		38	70	1	3	0	112	203	St. Michael Catholic School	2	0	0	40	0	1	11	46	12	41.07%	62.50%	53.93%	St. Michael Catholic School
94	115		38	76	0	5	0	119	260	Dixon Hall	1	0	1	37	2	0	17	46	14	38.98%	63.87%	53.91%	Dixon Hall
94	456		70	97	0	2	0	169	282	550 Jarvis Street - Massey House Apartments	0	0	0	45	0	1	18	81	22	48.50%	57.40%	53.84%	550 Jarvis Street - Massey House Apartments
94	493		72	110	0	0	0	182	498	Le Collège français	0	0	0	56	1	0	21	79	23	43.89%	60.44%	53.82%	Le Collège français
94	77		66	75	1	3	0	145	257	Church Street Junior Public School	0	0	0	30	3	0	19	82	10	56.94%	51.72%	53.81%	Church Street Junior Public School
94	93		74	101	0	13	0	188	580	Sprucecourt Junior Public School	6	0	2	62	2	2	5	100	7	53.76%	53.72%	53.74%	Sprucecourt Junior Public School
94	437A		75	75	0	4	0	154	486	Rose Avenue Junior Public School	2	0	1	21	1	0	16	93	18	61.18%	48.70%	53.69%	Rose Avenue Junior Public School
94	82		38	58	0	1	0	97	275	Parliament Street Public Library	0	0	2	28	2	1	7	43	14	44.33%	59.79%	53.61%	Parliament Street Public Library
94	517A		44	63	0	3	2	112	346	201 Sherbourne Street - Centre Point Apartments	1	0	0	25	3	0	17	55	10	49.55%	56.25%	53.57%	201 Sherbourne Street - Centre Point Apartments
94	91		54	85	1	2	2	144	290	Parliament Street Public Library	0	0	0	34	2	0	23	65	20	45.14%	59.03%	53.47%	Parliament Street Public Library
94	550		25	25	1	0	0	51	146	St. Michael Catholic School	1	0	0	12	1	0	2	30	4	60.00%	49.02%	53.41%	St. Michael Catholic School
94	500		49	54	0	1	0	104	182	298 Jarvis Street	1	0	0	26	1	0	5	56	12	55.45%	51.92%	53.33%	298 Jarvis Street
94	562		26	33	0	0	0	59	117	77 Lombard Street - Absolute Lofts	0	0	0	8	0	0	4	29	18	49.15%	55.93%	53.22%	77 Lombard Street - Absolute Lofts
94	135		45	77	1	1	0	124	220	St. Michael Catholic School	3	3	0	37	0	0	16	49	15	39.84%	62.10%	53.19%	St. Michael Catholic School
94	56		62	87	1	2	2	154	301	St. Martin's School / A.P.P.L.E. Alternative	0	0	1	24	1	1	36	73	16	48.03%	56.49%	53.11%	St. Martin's School / A.P.P.L.E. Alternative
94	73		80	118	0	1	0	199	339	St. Martin's School / A.P.P.L.E. Alternative	1	0	1	35	1	0	35	87	39	43.72%	59.30%	53.07%	St. Martin's School / A.P.P.L.E. Alternative
94	458		50	59	0	1	1	111	207	100 Gloucester Street - Cawthra Apartments	2	0	0	21	0	0	14	58	15	52.73%	53.15%	52.98%	100 Gloucester Street - Cawthra Apartments
94	38		13	24	0	0	0	37	125	École élémentaire catholique Sacré-Coeur	0	1	2	12	1	0	3	13	5	35.14%	64.86%	52.97%	École élémentaire catholique Sacré-Coeur
94	477A		107	110	1	3	1	222	416	50 Alexander Street - Village Green	0	0	0	42	2	0	22	128	27	57.92%	49.55%	52.90%	50 Alexander Street - Village Green
94	72		62	108	0	0	10	180	372	St. Martin's School / A.P.P.L.E. Alternative	0	0	2	49	1	0	28	76	24	42.22%	60.00%	52.89%	St. Martin's School / A.P.P.L.E. Alternative
94	480		152	184	3	0	0	339	607	77 Maitland Place - Celebrity Place	1	0	1	99	4	1	24	171	36	50.74%	54.28%	52.86%	77 Maitland Place - Celebrity Place
94	44		37	55	0	1	0	93	216	École élémentaire catholique Sacré-Coeur	0	1	0	29	0	0	13	39	8	43.33%	59.14%	52.82%	École élémentaire catholique Sacré-Coeur
94	423		57	68	2	19	0	146	376	Rose Avenue Junior Public School	3	2	3	23	4	2	7	87	9	62.14%	46.58%	52.80%	Rose Avenue Junior Public School
94	124		48	59	0	4	0	111	251	John Innes Community Centre	0	0	0	23	3	0	14	58	13	52.25%	53.15%	52.79%	John Innes Community Centre
94	125B		42	61	0	0	0	103	444	St. Lawrence Community Centre	0	1	0	25	2	0	12	44	18	43.14%	59.22%	52.79%	St. Lawrence Community Centre
94	553		54	75	1	3	0	133	321	St. Lawrence Community Centre	4	0	0	37	4	0	11	62	13	47.33%	56.39%	52.77%	St. Lawrence Community Centre
94	426		19	21	0	1	0	41	94	55 Bloor Street East - Signatures on Bloor	0	0	0	5	0	0	6	22	7	55.00%	51.22%	52.73%	55 Bloor Street East - Signatures on Bloor
94	121		34	59	0	0	0	93	191	Dixon Hall	1	1	0	27	0	0	17	34	13	36.56%	63.44%	52.69%	Dixon Hall
94	543		58	92	0	2	0	152	298	St. Lawrence Community Centre	0	1	3	59	2	0	18	62	7	40.79%	60.53%	52.63%	St. Lawrence Community Centre
94	527		96	140	0	1	0	237	500	210 Victoria Street - Pantages Tower	0	0	1	49	2	1	17	100	63	42.92%	59.07%	52.61%	210 Victoria Street - Pantages Tower
94	545		62	92	0	2	1	157	245	39 Parliament Street - Parliament Square	3	2	0	55	2	0	20	68	6	43.59%	58.60%	52.60%	39 Parliament Street - Parliament Square
94	428		41	45	0	0	0	86	173	100 Hayden Street - Bloor Walk Residences	0	0	0	12	2	1	10	45	15	52.94%	52.33%	52.57%	100 Hayden Street - Bloor Walk Residences
94	536		70	78	0	1	7	156	309	333 Adelaide Street East - Mozo	0	1	0	11	2	0	21	84	30	56.38%	50.00%	52.55%	333 Adelaide Street East - Mozo
94	105		64	82	2	23	2	173	566	Regent Park South Community Centre	0	2	0	49	3	1	6	104	8	60.12%	47.40%	52.49%	Regent Park South Community Centre
94	435B		64	65	0	12	5	146	453	Rose Avenue Junior Public School	1	2	3	26	3	0	7	94	10	64.38%	44.52%	52.47%	Rose Avenue Junior Public School
94	448		42	61	0	3	0	106	450	1101 Bay Street - Residences On Bay	2	1	0	21	3	0	9	47	22	44.76%	57.55%	52.43%	1101 Bay Street - Residences On Bay
94	65		34	38	0	2	0	74	192	Le Collège français	0	0	0	22	2	0	9	40	1	54.05%	51.35%	52.43%	Le Collège français
94	429		15	21	0	1	0	37	134	École élémentaire catholique Sacré-Coeur	0	0	0	11	0	0	3	17	6	45.95%	56.76%	52.43%	École élémentaire catholique Sacré-Coeur
94	511A		74	88	0	1	0	163	298	155 Dalhousie Street - The Merchandise Building	2	1	0	26	1	1	21	81	29	50.00%	53.99%	52.39%	155 Dalhousie Street - The Merchandise Building
94	471		74	114	3	6	0	197	349	Bleecker Street Co-operative	1	0	0	83	4	0	10	86	11	44.10%	57.87%	52.36%	Bleecker Street Co-operative
94	122		74	139	0	1	16	230	431	Ryerson University International Learning Centre	2	1	2	50	1	3	35	91	42	40.09%	60.43%	52.30%	Ryerson University International Learning Centre
94	505		46	101	1	3	1	152	351	96 Gerrard Street East - Neil Wycik Co-operative	0	1	0	57	2	0	25	47	20	30.92%	66.45%	52.24%	96 Gerrard Street East - Neil Wycik Co-operative
94	484		18	18	0	0	0	36	140	Our Lady of Lourdes Catholic School	0	0	0	7	0	0	5	20	4	55.56%	50.00%	52.22%	Our Lady of Lourdes Catholic School
94	120		50	79	0	2	0	131	307	Dixon Hall	0	0	1	28	1	0	25	52	23	40.00%	60.31%	52.18%	Dixon Hall
94	ADV002		306	360	3	6	10	685	0	Parliament Street Public Library	4	5	3	131	7	1	68	351	110	51.62%	52.55%	52.18%	Parliament Street Public Library
94	431A		86	119	0	2	0	207	639	Wellesley Community Centre	5	1	3	61	3	0	18	91	25	43.96%	57.49%	52.08%	Wellesley Community Centre
94	86		64	79	0	2	0	145	486	St. Joseph's College School	3	0	1	44	3	1	13	69	10	47.92%	54.48%	51.86%	St. Joseph's College School
94	517B		36	65	1	1	0	103	316	201 Sherbourne Street - Centre Point Apartments	2	3	0	31	4	0	12	36	15	34.95%	63.11%	51.84%	201 Sherbourne Street - Centre Point Apartments
94	75		45	57	0	1	0	103	266	Church Street Junior Public School	1	1	0	28	0	1	15	48	9	46.60%	55.34%	51.84%	Church Street Junior Public School
94	88		58	68	4	0	0	130	462	Le Collège français	0	2	0	30	1	0	15	65	15	50.78%	52.31%	51.70%	Le Collège français
94	133		55	63	0	0	0	118	336	St. Lawrence Market North	3	0	0	25	1	0	9	58	22	49.15%	53.39%	51.69%	St. Lawrence Market North
94	ADV003		516	538	10	43	0	1107	0	Wellesley Community Centre	9	5	6	168	12	5	67	610	213	55.71%	48.60%	51.44%	Wellesley Community Centre
94	425		48	48	0	4	0	100	266	Rose Avenue Junior Public School	1	0	1	22	1	0	5	56	13	56.57%	48.00%	51.43%	Rose Avenue Junior Public School
94	542		89	103	1	1	0	194	323	St. Lawrence on the Park	0	1	0	43	3	0	19	94	33	48.70%	53.09%	51.34%	St. Lawrence on the Park
94	472		40	38	0	0	0	78	180	St. Joseph's College School	0	1	0	8	1	0	3	43	22	55.13%	48.72%	51.28%	St. Joseph's College School
94	99		45	65	0	1	0	111	412	John Innes Community Centre	3	0	2	37	1	2	9	44	11	40.37%	58.56%	51.28%	John Innes Community Centre
94	445		22	29	1	0	0	52	144	St. Joseph's College School	0	0	17	0	0	12	0	23	0	44.23%	55.77%	51.15%	St. Joseph's College School
94	531		77	91	0	1	0	169	307	323 Richmond Street East - The Richmond	1	1	1	34	0	0	21	79	31	47.02%	53.85%	51.12%	323 Richmond Street East - The Richmond
94	511B		67	82	0	2	2	153	272	155 Dalhousie Street - The Merchandise Building	0	0	0	26	0	0	18	72	36	47.37%	53.59%	51.10%	155 Dalhousie Street - The Merchandise Building
94	059-1		157	214	5	5	2	383	772	University of Toronto - St. Michael's College	1	4	1	99	3	0	37	166	68	43.80%	55.87%	51.04%	University of Toronto - St. Michael's College
94	498		75	61	0	0	0	136	231	77 Carlton Street	1	0	0	24	2	0	7	82	20	60.29%	44.85%	51.03%	77 Carlton Street
94	57		90	89	1	0	0	180	325	St. Martin's School / A.P.P.L.E. Alternative	0	0	0	17	0	0	24	95	43	53.07%	49.44%	50.90%	St. Martin's School / A.P.P.L.E. Alternative
94	522		25	33	0	10	0	68	140	88 Mutual Street	1	0	0	21	2	0	3	37	4	54.41%	48.53%	50.88%	88 Mutual Street
94	563		119	151	0	4	0	274	496	Yorktown on the Park	0	2	1	59	4	3	33	122	50	44.53%	55.11%	50.88%	Yorktown on the Park
94	530		75	93	0	3	0	171	310	323 Richmond Street East - The Richmond	1	0	0	28	0	0	26	77	37	45.56%	54.39%	50.86%	323 Richmond Street East - The Richmond
94	561		85	89	1	1	0	176	181	33 Lombard Street - The Spire	0	0	0	32	1	0	17	89	35	51.15%	50.57%	50.80%	33 Lombard Street - The Spire
94	451		69	85	0	4	0	158	325	33 Isabella Street - Isabella Court	2	0	0	35	6	0	22	73	20	46.20%	53.80%	50.76%	33 Isabella Street - Isabella Court
94	47		84	93	0	2	0	179	314	St. Martin's School / A.P.P.L.E. Alternative	0	0	2	26	1	0	28	87	34	48.88%	51.96%	50.72%	St. Martin's School / A.P.P.L.E. Alternative
94	518		43	52	0	0	0	95	158	90 Sumach Street	0	0	0	7	0	0	17	42	28	44.68%	54.74%	50.71%	90 Sumach Street
94	111		56	72	1	1	1	131	303	Lord Dufferin Junior and Senior Public School	0	0	0	22	2	0	25	58	24	44.27%	54.96%	50.69%	Lord Dufferin Junior and Senior Public School
94	491		55	60	0	3	0	118	280	25 Grenville Street - The Gallery	0	0	0	18	0	0	12	59	28	50.43%	50.85%	50.68%	25 Grenville Street - The Gallery
94	92		51	76	0	5	1	133	321	Lord Dufferin Junior and Senior Public School	1	0	1	36	0	0	20	54	20	40.91%	57.14%	50.65%	Lord Dufferin Junior and Senior Public School
94	55		46	47	1	4	2	100	243	Winchester Junior and Senior Public School	0	0	0	18	1	1	10	55	13	56.12%	47.00%	50.65%	Winchester Junior and Senior Public School
94	108		42	52	0	0	0	94	306	Ryerson University International Learning Centre	1	0	0	25	1	0	10	41	16	43.62%	55.32%	50.64%	Ryerson University International Learning Centre
94	117		63	70	0	4	1	138	342	Ryerson University International Learning Centre	0	0	0	38	0	1	9	69	20	50.36%	50.72%	50.58%	Ryerson University International Learning Centre
94	113		76	91	1	0	1	169	407	Lord Dufferin Junior and Senior Public School	0	1	1	24	4	2	22	77	38	45.56%	53.85%	50.53%	Lord Dufferin Junior and Senior Public School
94	436		53	54	1	1	0	109	263	Rose Avenue Junior Public School	1	1	0	21	2	1	6	55	19	51.89%	49.54%	50.48%	Rose Avenue Junior Public School
94	487		76	83	3	5	0	167	405	220 Oak Street	8	2	2	49	3	0	7	84	8	51.53%	49.70%	50.43%	220 Oak Street
94	431B		104	116	0	6	0	226	666	Wellesley Community Centre	1	2	0	62	4	0	20	110	26	48.89%	51.33%	50.35%	Wellesley Community Centre
94	98		73	173	1	3	0	250	364	Ryerson University - 110 Pitman Hall	0	0	0	124	5	0	49	54	13	22.04%	69.20%	50.34%	Ryerson University - 110 Pitman Hall
94	405		101	124	0	0	4	229	442	50 Hillsboro Avenue - Ramsden Place Apartments	1	0	2	49	5	0	28	102	42	44.54%	54.15%	50.31%	50 Hillsboro Avenue - Ramsden Place Apartments
94	132		44	59	0	4	0	107	253	St. Lawrence Community Centre	0	1	1	26	6	1	12	46	14	42.99%	55.14%	50.28%	St. Lawrence Community Centre
94	ADV001		701	658	8	17	9	1393	0	Returning Office / Bureau du directeur du scrutin	4	3	3	196	10	2	115	751	291	54.62%	47.24%	50.19%	Returning Office / Bureau du directeur du scrutin
94	497		49	60	0	1	2	112	197	84 Carlton Street - Tobias House	1	2	0	22	9	1	8	50	18	45.05%	53.57%	50.16%	84 Carlton Street - Tobias House
94	474		99	106	1	3	0	209	436	24 Wellesley Street West - Century Plaza	1	0	0	31	0	0	27	103	47	49.28%	50.72%	50.14%	24 Wellesley Street West - Century Plaza
94	541		62	71	0	0	1	134	386	St. Michael Catholic School	1	1	0	46	0	1	9	61	14	45.86%	52.99%	50.14%	St. Michael Catholic School
94	12		117	106	0	0	1	224	461	Our Lady of Perpetual Help School	0	6	0	18	1	1	22	121	54	54.26%	47.32%	50.10%	Our Lady of Perpetual Help School
94	476		75	56	0	3	1	135	232	25 Maitland Street - The Cosmopolitan	0	0	0	11	2	1	17	84	19	62.69%	41.48%	49.96%	25 Maitland Street - The Cosmopolitan
94	50		40	56	0	1	0	97	184	Church Street Community Centre (519 Church Street)	0	0	0	32	0	0	18	37	10	38.14%	57.73%	49.90%	Church Street Community Centre (519 Church Street)
94	123		44	52	2	2	1	101	247	Fred Victor Centre	3	0	0	16	1	0	17	47	15	47.47%	51.49%	49.88%	Fred Victor Centre
94	418		67	72	0	2	1	142	280	8 Park Road	0	1	0	16	0	0	10	69	46	48.59%	50.70%	49.86%	8 Park Road
94	127		45	47	0	0	0	92	134	St. Lawrence Market North	0	0	1	15	2	0	8	44	22	47.83%	51.09%	49.78%	St. Lawrence Market North
94	502		25	30	0	2	0	57	171	St. Joseph's College School	0	0	0	9	1	0	4	25	16	45.45%	52.63%	49.76%	St. Joseph's College School
94	85		91	125	1	2	2	221	333	Sprucecourt Junior Public School	0	0	0	71	0	1	32	87	29	39.55%	56.56%	49.75%	Sprucecourt Junior Public School
94	437C		68	59	2	11	0	140	472	Rose Avenue Junior Public School	0	2	2	20	11	4	14	85	1	61.15%	42.14%	49.75%	Rose Avenue Junior Public School
94	407		72	67	0	1	0	140	303	942 Yonge Street - Memphis Condominium	1	0	0	14	2	0	16	73	33	52.52%	47.86%	49.72%	942 Yonge Street - Memphis Condominium
94	53		58	60	0	1	1	120	234	École élémentaire catholique Sacré-Coeur	0	0	0	37	0	0	8	59	16	49.17%	50.00%	49.67%	École élémentaire catholique Sacré-Coeur
94	430		102	109	0	3	1	215	509	235 Bloor Street East - Residences on Bloor	1	0	1	37	5	3	27	102	37	47.89%	50.70%	49.57%	235 Bloor Street East - Residences on Bloor
94	134		69	102	0	0	2	173	275	St. Lawrence Community Centre	0	0	0	43	4	0	30	61	34	35.47%	58.96%	49.56%	St. Lawrence Community Centre
94	80		43	37	0	0	0	80	208	Our Lady of Lourdes Catholic School	1	0	0	20	1	0	10	43	4	54.43%	46.25%	49.52%	Our Lady of Lourdes Catholic School
94	455		57	45	0	1	0	103	142	86 Gloucester Street	0	2	0	10	4	1	7	60	19	58.25%	43.69%	49.51%	86 Gloucester Street
94	446		23	24	0	0	0	47	112	1121 Bay Street	0	0	0	8	1	0	5	22	11	46.81%	51.06%	49.36%	1121 Bay Street
94	540		51	80	0	2	1	134	259	St. Michael Catholic School	0	1	2	64	2	0	9	45	10	33.83%	59.70%	49.35%	St. Michael Catholic School
94	432B		72	92	5	20	2	191	607	Wellesley Community Centre	4	3	2	50	8	4	2	94	17	51.09%	48.17%	49.34%	Wellesley Community Centre
94	411		31	26	2	2	0	61	106	120 Rosedale Valley Road - Arbour Glen Apartments	0	0	0	12	0	0	4	35	8	59.32%	42.62%	49.30%	120 Rosedale Valley Road - Arbour Glen Apartments
94	496		157	131	0	8	3	299	587	45 Carlton Street - The Lexington	0	2	3	38	7	1	25	172	51	57.53%	43.81%	49.30%	45 Carlton Street - The Lexington
94	87		25	27	0	2	0	54	131	Church Street Junior Public School	0	0	0	17	2	0	6	26	3	48.15%	50.00%	49.26%	Church Street Junior Public School
94	492		89	88	3	6	0	186	294	484 Church Street - City Park Co-operative	1	2	1	45	2	13	11	97	14	52.15%	47.31%	49.25%	484 Church Street - City Park Co-operative
94	409		35	29	1	1	0	66	111	914 Yonge Street	0	0	0	8	0	0	4	37	16	56.92%	43.94%	49.13%	914 Yonge Street
94	104		120	105	1	29	0	255	710	Regent Park South Community Centre	2	2	1	65	12	3	3	153	10	60.96%	41.18%	49.09%	Regent Park South Community Centre
