Riding,Candidate,Party
Eglinton—Lawrence,Michael Bone,Freedom Party of Ontario
Eglinton—Lawrence,Mike Colle,Ontario Liberal Party
Eglinton—Lawrence,Thomas Gallezot,New Democratic Party of Ontario
Eglinton—Lawrence,Robin Martin,Progressive Conservative Party of Ontario
Eglinton—Lawrence,Lucas C. McCann,Green Party of Ontario
Eglinton—Lawrence,Erwin Sniedzins,Independent
Elgin—Middlesex—London,Kathy Cornish,New Democratic Party of Ontario
Elgin—Middlesex—London,John Fisher,Green Party of Ontario
Elgin—Middlesex—London,Serge Lavoie,Ontario Liberal Party
Elgin—Middlesex—London,Clare Maloney,Freedom Party of Ontario
Elgin—Middlesex—London,Jeff Yurek,Progressive Conservative Party of Ontario
Essex,Ray Cecile,Progressive Conservative Party of Ontario
Essex,Crystal Meloche,Ontario Liberal Party
Essex,Taras Natyshak,New Democratic Party of Ontario
Essex,Mark Vercouteren,Green Party of Ontario
Etobicoke-Centre,Yvan Baker,Ontario Liberal Party
Etobicoke-Centre,Alexander T. Bussmann,Ontario Libertarian Party
Etobicoke-Centre,Chris Jones,New Democratic Party of Ontario
Etobicoke-Centre,Andrew Kuess,Freedom Party of Ontario
Etobicoke-Centre,Pina Martino,Progressive Conservative Party of Ontario
Etobicoke-Centre,John J. Martins,The People's Political Party
Etobicoke-Centre,George Morrison,Green Party of Ontario
Etobicoke-Centre,Felicia Trigiani,Vegan Environmental Party
Etobicoke—Lakeshore,P. C. Choo,New Democratic Party of Ontario
Etobicoke—Lakeshore,Doug Holyday,Progressive Conservative Party of Ontario
Etobicoke—Lakeshore,Natalie Lochwin,Socialist Party of Ontario
Etobicoke—Lakeshore,Ian Lytvyn,Ontario Moderate Party
Etobicoke—Lakeshore,Jeff Merklinger,Freedom Party of Ontario
Etobicoke—Lakeshore,Peter Milczyn,Ontario Liberal Party
Etobicoke—Lakeshore,Angela Salewsky,Green Party of Ontario
Etobicoke—Lakeshore,Mark Wrzesniewski,Ontario Libertarian Party
Etobicoke North,Nigel Barriffe,New Democratic Party of Ontario
Etobicoke North,Allan deRoo,Ontario Libertarian Party
Etobicoke North,James McConnell,Freedom Party of Ontario
Etobicoke North,Tony Milone,Progressive Conservative Party of Ontario
Etobicoke North,Shafiq Qaadri,Ontario Liberal Party
Etobicoke North,Kenny Robertson,Green Party of Ontario
Glengarry—Prescott—Russell,Grant Crack,Ontario Liberal Party
Glengarry—Prescott—Russell,Darcy Neal Donnelly,Ontario Libertarian Party
Glengarry—Prescott—Russell,Marc-Antoine Gagnier,Independent
Glengarry—Prescott—Russell,Carl Leduc,Freedom Party of Ontario
Glengarry—Prescott—Russell,Isabelle Sabourin,New Democratic Party of Ontario
Glengarry—Prescott—Russell,Raymond St. Martin,Green Party of Ontario
Glengarry—Prescott—Russell,Roxane Villeneuve Robertson,Progressive Conservative Party of Ontario
Guelph,Juanita Burnett,Communist Party of Canada (Ontario)
Guelph,James Gordon,New Democratic Party of Ontario
Guelph,Anthony MacDonald,Progressive Conservative Party of Ontario
Guelph,Liz Sandals,Ontario Liberal Party
Guelph,Mike Schreiner,Green Party of Ontario
Guelph,Blair Smythe,Ontario Libertarian Party
Haldimand—Norfolk,Toby Barrett,Progressive Conservative Party of Ontario
Haldimand—Norfolk,Anne Faulkner,Green Party of Ontario
Haldimand—Norfolk,Brad Mottashed,Ontario Libertarian Party
Haldimand—Norfolk,Ian Nichols,New Democratic Party of Ontario
Haldimand—Norfolk,Karen Robinson,Ontario Liberal Party
Haliburton—Kawartha Lakes—Brock,Don Abel,New Democratic Party of Ontario
Haliburton—Kawartha Lakes—Brock,Arsalan Ahmad,Green Party of Ontario
Haliburton—Kawartha Lakes—Brock,Rick Johnson,Ontario Liberal Party
Haliburton—Kawartha Lakes—Brock,Laurie Scott,Progressive Conservative Party of Ontario
Halton,Ted Chudleigh,Progressive Conservative Party of Ontario
Halton,Susan Farrant,Green Party of Ontario
Halton,Kal Ghory,Ontario Libertarian Party
Halton,Gerry Marsh,Family Coalition Party of Ontario
Halton,Indira Naidoo-Harris,Ontario Liberal Party
Halton,Nik Spohr,New Democratic Party of Ontario
Hamilton Centre,Andrea Horwath,New Democratic Party of Ontario
Hamilton Centre,Bob Mann,Communist Party of Canada (Ontario)
Hamilton Centre,Peter Melanson,Freedom Party of Ontario
Hamilton Centre,Peter Ormond,Green Party of Ontario
Hamilton Centre,Donna Tiqui-Shebib,Ontario Liberal Party
Hamilton Centre,John Vail,Progressive Conservative Party of Ontario
Hamilton East—Stoney Creek,David Brown,Progressive Conservative Party of Ontario
Hamilton East—Stoney Creek,Mark Burnison,Ontario Libertarian Party
Hamilton East—Stoney Creek,Britney Anne Johnston,Freedom Party of Ontario
Hamilton East—Stoney Creek,Ivan Luksic,Ontario Liberal Party
Hamilton East—Stoney Creek,Paul Miller,New Democratic Party of Ontario
Hamilton East—Stoney Creek,Gregory Zink,Green Party of Ontario
Hamilton Mountain,Brian Goodwin,Freedom Party of Ontario
Hamilton Mountain,Greg Lenko,Green Party of Ontario
Hamilton Mountain,Albert Marshall,Progressive Conservative Party of Ontario
Hamilton Mountain,Javid Mirza,Ontario Liberal Party
Hamilton Mountain,Monique Taylor,New Democratic Party of Ontario
Hamilton Mountain,Hans Wienhold,Ontario Libertarian Party
Huron—Bruce,Jan Johnstone,New Democratic Party of Ontario
Huron—Bruce,Max Maister,Ontario Libertarian Party
Huron—Bruce,Colleen Schenk,Ontario Liberal Party
Huron—Bruce,Lisa Thompson,Progressive Conservative Party of Ontario
Huron—Bruce,Dennis Valenta,Equal Parenting Party
Huron—Bruce,Adam Werstine,Green Party of Ontario
Huron—Bruce,Andrew Zettel,Family Coalition Party of Ontario
Kenora—Rainy River,Sarah Campbell,New Democratic Party of Ontario
Kenora—Rainy River,Anthony Leek,Ontario Liberal Party
Kenora—Rainy River,Timothy McKillop,Green Party of Ontario
Kenora—Rainy River,Randy Nickle,Progressive Conservative Party of Ontario
Kingston and the Islands,Mark Bain,Progressive Conservative Party of Ontario
Kingston and the Islands,Mary Rita Holland,New Democratic Party of Ontario
Kingston and the Islands,Robert Kiley,Green Party of Ontario
Kingston and the Islands,Sophie Kiwala,Ontario Liberal Party
Kingston and the Islands,Jonathan Reid,Freedom Party of Ontario
Kitchener Centre,Patrick Bernier,Ontario Libertarian Party
Kitchener Centre,Margaret Johnston,New Democratic Party of Ontario
Kitchener Centre,Ronnie Smith,Green Party of Ontario
Kitchener Centre,Daiene Vernile,Ontario Liberal Party
Kitchener Centre,Wayne Wettlaufer,Progressive Conservative Party of Ontario
Kitchener—Conestoga,Michael Harris,Progressive Conservative Party of Ontario
Kitchener—Conestoga,David Schumm,Ontario Libertarian Party
Kitchener—Conestoga,James Villeneuve,New Democratic Party of Ontario
Kitchener—Conestoga,David Weber,Green Party of Ontario
Kitchener—Conestoga,Wayne Wright,Ontario Liberal Party
Kitchener—Waterloo,Jamie Burton,Ontario Liberal Party
Kitchener—Waterloo,Stacey Danckert,Green Party of Ontario
Kitchener—Waterloo,Catherine Fife,New Democratic Party of Ontario
Kitchener—Waterloo,James Schulz,Ontario Libertarian Party
Kitchener—Waterloo,Tracey Weiler,Progressive Conservative Party of Ontario
Lambton—Kent—Middlesex,James Armstrong,Green Party of Ontario
Lambton—Kent—Middlesex,Dave Durnin,Freedom Party of Ontario
Lambton—Kent—Middlesex,Joe Hill,New Democratic Party of Ontario
Lambton—Kent—Middlesex,Bob Lewis,None of the Above Party of Ontario
Lambton—Kent—Middlesex,Monte McNaughton,Progressive Conservative Party of Ontario
Lambton—Kent—Middlesex,Mike Radan,Ontario Liberal Party
Lambton—Kent—Middlesex,Marinus Vander Vloet,Family Coalition Party of Ontario
Lambton—Kent—Middlesex,Matt Willson,Ontario Libertarian Party
Lanark—Frontenac—Lennox and Addington,Randy Hillier,Progressive Conservative Party of Ontario
Lanark—Frontenac—Lennox and Addington,Bill MacDonald,Ontario Liberal Party
Lanark—Frontenac—Lennox and Addington,Cam Mather,Green Party of Ontario
Lanark—Frontenac—Lennox and Addington,Dave Parkhill,New Democratic Party of Ontario
Leeds—Grenville,Stephen Bowering,Green Party of Ontario
Leeds—Grenville,Steve Clark,Progressive Conservative Party of Ontario
Leeds—Grenville,Harold Gabriel,Ontario Libertarian Party
Leeds—Grenville,David Lundy,New Democratic Party of Ontario
Leeds—Grenville,Christine Milks,Ontario Liberal Party
London—Fanshawe,Teresa Armstrong,New Democratic Party of Ontario
London—Fanshawe,Ali Aref Hamadi,Independent
London—Fanshawe,Tim Harnick,Ontario Libertarian Party
London—Fanshawe,Marcel Marcellin,Ontario Liberal Party
London—Fanshawe,Paul McKeever,Freedom Party of Ontario
London—Fanshawe,Chris Robson/Parti PC de l'Ontario,Progressive Conservative Party of Ontario
London—Fanshawe,Wil Sorrell,Green Party of Ontario
London North Centre,Nancy Branscombe,Progressive Conservative Party of Ontario
London North Centre,Judy Bryant,New Democratic Party of Ontario
London North Centre,Kevin Labonte,Green Party of Ontario
London North Centre,Salim Mansur,Freedom Party of Ontario
London North Centre,Deb Matthews,Ontario Liberal Party
London North Centre,Dave McKee,Communist Party of Canada (Ontario)
London North Centre,Michael Spottiswood,Pauper Party of Ontario
London West,Jeff Bennett,Progressive Conservative Party of Ontario
London West,Al Gretzky,Freedom Party of Ontario
London West,Keith McAlister,Green Party of Ontario
London West,Peggy Sattler,New Democratic Party of Ontario
London West,Nick Steinburg,Ontario Liberal Party
Markham—Unionville,Michael Chan,Ontario Liberal Party
Markham—Unionville,Nadine Kormos Hawkins,New Democratic Party of Ontario
Markham—Unionville,Myles O'Brien,Green Party of Ontario
Markham—Unionville,Allen Small,Ontario Libertarian Party
Markham—Unionville,Shan Thayaparan,Progressive Conservative Party of Ontario
Mississauga—Brampton South,Kathy Acheson,Green Party of Ontario
Mississauga—Brampton South,Robert Alilovic,Independent
Mississauga—Brampton South,Amarjeet Gill,Progressive Conservative Party of Ontario
Mississauga—Brampton South,Richard Levesque,Ontario Libertarian Party
Mississauga—Brampton South,Amrit Mangat,Ontario Liberal Party
Mississauga—Brampton South,Kevin Troake,New Democratic Party of Ontario
Mississauga—Brampton South,Kathleen Vezina,None of the Above Party of Ontario
Mississauga East—Cooksville,Dolly Catena,Equal Parenting Party
Mississauga East—Cooksville,Zoran Churchin,Progressive Conservative Party of Ontario
Mississauga East—Cooksville,Dipika Damerla,Ontario Liberal Party
Mississauga East—Cooksville,Levko Iwanusiw,Ontario Libertarian Party
Mississauga East—Cooksville,Fayaz Karim,New Democratic Party of Ontario
Mississauga East—Cooksville,Linh Nguyen,Green Party of Ontario
Mississauga—Erindale,Michelle Bilek,New Democratic Party of Ontario
Mississauga—Erindale,Vivek Gupta,Green Party of Ontario
Mississauga—Erindale,Christopher Jewell,Ontario Libertarian Party
Mississauga—Erindale,Nabila Kiyani,Family Coalition Party of Ontario
Mississauga—Erindale,Harinder S. Takhar,Ontario Liberal Party
Mississauga—Erindale,Greg Vezina,None of the Above Party of Ontario
Mississauga—Erindale,Jeff White,Progressive Conservative Party of Ontario
Mississauga South,Lloyd Jones,Green Party of Ontario
Mississauga South,James Judson,Ontario Libertarian Party
Mississauga South,Boris Rosolak,New Democratic Party of Ontario
Mississauga South,Charles Sousa,Ontario Liberal Party
Mississauga South,Effie Triantafilopoulos,Progressive Conservative Party of Ontario
Mississauga South,Andrew Weber,None of the Above Party of Ontario
Mississauga—Streetsville,Bob Delaney,Ontario Liberal Party
Mississauga—Streetsville,Anju Sikka,New Democratic Party of Ontario
Mississauga—Streetsville,Nina Tangri,Progressive Conservative Party of Ontario
Mississauga—Streetsville,Alexander Vezina,None of the Above Party of Ontario
Mississauga—Streetsville,David Walach,Ontario Libertarian Party
Mississauga—Streetsville,Scott Warner,Green Party of Ontario
Nepean—Carleton,Coreen Corcoran,Ontario Libertarian Party
Nepean—Carleton,Ric Dagenais,New Democratic Party of Ontario
Nepean—Carleton,Gordon Kubanek,Green Party of Ontario
Nepean—Carleton,Lisa MacLeod,Progressive Conservative Party of Ontario
Nepean—Carleton,Jack Uppal,Ontario Liberal Party
Newmarket—Aurora,Chris Ballard,Ontario Liberal Party
Newmarket—Aurora,Dorian Baxter,Canadians' Choice Party
Newmarket—Aurora,Angus Duff,New Democratic Party of Ontario
Newmarket—Aurora,Jason Jenkins,Ontario Libertarian Party
Newmarket—Aurora,Andrew Roblin,Green Party of Ontario
Newmarket—Aurora,Jane Twinney,Progressive Conservative Party of Ontario
Newmarket—Aurora,Bob Yaciuk,Trillium Party of Ontario
Niagara Falls,John Ringo Beam,None of the Above Party of Ontario
Niagara Falls,Clarke Bitter,Green Party of Ontario
Niagara Falls,Wayne Gates,New Democratic Party of Ontario
Niagara Falls,Bart Maves,Progressive Conservative Party of Ontario
Niagara Falls,Ralph Panucci,Ontario Libertarian Party
Niagara Falls,Lionel Tupman,Ontario Liberal Party
Niagara West—Glanbrook,Tim Hudak,Progressive Conservative Party of Ontario
Niagara West—Glanbrook,Stefanos Karatopis,Ontario Libertarian Party
Niagara West—Glanbrook,Basia Krzyzanowski,Green Party of Ontario
Niagara West—Glanbrook,Brian McCormack,New Democratic Party of Ontario
Niagara West—Glanbrook,David Mossey,Ontario Liberal Party
Niagara West—Glanbrook,Geoff Peacock,Freedom Party of Ontario
Nickel Belt,Marck Blay,Progressive Conservative Party of Ontario
Nickel Belt,Heather K. Dahlstrom,Green Party of Ontario
Nickel Belt,France Gélinas,New Democratic Party of Ontario
Nickel Belt,James Tregonning,Ontario Liberal Party
Nipissing,Patrick Clement,Independent
Nipissing,Derek Elliott,Ontario Libertarian Party
Nipissing,Vic Fedeli,Progressive Conservative Party of Ontario
Nipissing,Henri Giroux,New Democratic Party of Ontario
Nipissing,Nicole L. Peltier,Green Party of Ontario
Nipissing,Catherine Whiting,Ontario Liberal Party
Northumberland-Quinte West,Gudrun Ludorf-Weaver,Green Party of Ontario
Northumberland-Quinte West,Kira Mees,New Democratic Party of Ontario
Northumberland-Quinte West,Rob Milligan,Progressive Conservative Party of Ontario
Northumberland-Quinte West,Lou Rinaldi,Ontario Liberal Party
Oak Ridges—Markham,Karl Boelling,Ontario Libertarian Party
Oak Ridges—Markham,Helena Jaczek,Ontario Liberal Party
Oak Ridges—Markham,Miles Krauter,New Democratic Party of Ontario
Oak Ridges—Markham,Emilia Melara,Green Party of Ontario
Oak Ridges—Markham,Gennady Vilensky,Trillium Party of Ontario
Oak Ridges—Markham,Farid Wassef,Progressive Conservative Party of Ontario
Oakville,Andrew Chlobowski,Green Party of Ontario
Oakville,David Clement,Ontario Libertarian Party
Oakville,Kevin Flynn,Ontario Liberal Party
Oakville,Che Marville,New Democratic Party of Ontario
Oakville,Larry Scott,Progressive Conservative Party of Ontario
Oakville,Silvio Ursomarzo,Freedom Party of Ontario
Oshawa,Jennifer French,New Democratic Party of Ontario
Oshawa,Jerry J. Ouellette,Progressive Conservative Party of Ontario
Oshawa,Esrick Quintyn,Ontario Liberal Party
Oshawa,Becky Smit,Green Party of Ontario
Ottawa Centre,Rob Dekker,Progressive Conservative Party of Ontario
Ottawa Centre,Bruce A. Faulkner,Ontario Libertarian Party
Ottawa Centre,Jennifer McKenzie,New Democratic Party of Ontario
Ottawa Centre,Yasir Naqvi,Ontario Liberal Party
Ottawa Centre,Kevin O'Donnell,Green Party of Ontario
Ottawa Centre,Larry L. Wasslen,Communist Party of Canada (Ontario)
Ottawa—Orléans,Bob Bell,Green Party of Ontario
Ottawa—Orléans,Gerry Bourdeau,Ontario Libertarian Party
Ottawa—Orléans,Marie-France Lalonde,Ontario Liberal Party
Ottawa—Orléans,Andrew Lister,Progressive Conservative Party of Ontario
Ottawa—Orléans,Prosper M'Bemba-Meka,New Democratic Party of Ontario
Ottawa South,Jean-Serge Brisson,Ontario Libertarian Party
Ottawa South,John Fraser,Ontario Liberal Party
Ottawa South,Bronwyn Funiciello,New Democratic Party of Ontario
Ottawa South,Matt Lakatos-Hayward,Green Party of Ontario
Ottawa South,Espoir Manirambona,Communist Party of Canada (Ontario)
Ottawa South,John Redins,Party for People with Special Needs
Ottawa South,Matt Young,Progressive Conservative Party of Ontario
Ottawa—Vanier,Dave Bagler,Green Party of Ontario
Ottawa—Vanier,Martin Forget,Progressive Conservative Party of Ontario
Ottawa—Vanier,Madeleine Meilleur,Ontario Liberal Party
Ottawa—Vanier,Hervé Ngamby,New Democratic Party of Ontario
Ottawa—Vanier,Phillip Richard,Ontario Libertarian Party
Ottawa West—Nepean,Matthew Brooks,Ontario Libertarian Party
Ottawa West—Nepean,Bob Chiarelli,Ontario Liberal Party
Ottawa West—Nepean,Alex Cullen,New Democratic Party of Ontario
Ottawa West—Nepean,Randall Denley,Progressive Conservative Party of Ontario
Ottawa West—Nepean,Alex Hill,Green Party of Ontario
Oxford,Mike Farlow,Green Party of Ontario
Oxford,Ernie Hardeman,Progressive Conservative Party of Ontario
Oxford,Tim Hodges,Freedom Party of Ontario
Oxford,Daniel Moulton,Ontario Liberal Party
Oxford,Bryan Smith,New Democratic Party of Ontario
Oxford,Devin Wright,Ontario Libertarian Party
Parkdale—High Park,Cheri DiNovo,New Democratic Party of Ontario
Parkdale—High Park,Jamie Ellerton,Progressive Conservative Party of Ontario
Parkdale—High Park,Nancy Leblanc,Ontario Liberal Party
Parkdale—High Park,Melanie Motz,Freedom Party of Ontario
Parkdale—High Park,Tim Rudkins,Green Party of Ontario
Parkdale—High Park,Matthew Vezina,None of the Above Party of Ontario
Parkdale—High Park,Redmond Weissenberger,Ontario Libertarian Party
Parry Sound—Muskoka,Norm Miller,Progressive Conservative Party of Ontario
Parry Sound—Muskoka,Clyde Mobbley,New Democratic Party of Ontario
Parry Sound—Muskoka,Matt Richter,Green Party of Ontario
Parry Sound—Muskoka,Andy Stivrins,Freedom Party of Ontario
Parry Sound—Muskoka,Dan Waters,Ontario Liberal Party
Perth—Wellington,Chris Desjardins,Green Party of Ontario
Perth—Wellington,Irma DeVries,Family Coalition Party of Ontario
Perth—Wellington,Scott Marshall,Ontario Libertarian Party
Perth—Wellington,Matthew Murphy,Independent
Perth—Wellington,Randy Pettapiece,Progressive Conservative Party of Ontario
Perth—Wellington,Stewart Skinner,Ontario Liberal Party
Perth—Wellington,Robby Smink,Freedom Party of Ontario
Perth—Wellington,Romayne Smith Fullerton,New Democratic Party of Ontario
Peterborough,Gary Beamish,Green Party of Ontario
Peterborough,Gerard Faux,Pauper Party of Ontario
Peterborough,Jeff Leal,Ontario Liberal Party
Peterborough,Brian Martindale,Independent
Peterborough,Wayne Matheson,Freedom Party of Ontario
Peterborough,Andrea Quiano,Socialist Party of Ontario
Peterborough,Scott Stewart,Progressive Conservative Party of Ontario
Peterborough,Sheila Wood,New Democratic Party of Ontario
Pickering—Scarborough East,Kevin Gaudet,Progressive Conservative Party of Ontario
Pickering—Scarborough East,Eileen Higdon,New Democratic Party of Ontario
Pickering—Scarborough East,Scott Hoefig,Ontario Libertarian Party
Pickering—Scarborough East,Tracy MacCharles,Ontario Liberal Party
Pickering—Scarborough East,Anthony Navarro,Green Party of Ontario
Pickering—Scarborough East,Matt Oliver,Freedom Party of Ontario
Prince Edward—Hastings,Lindsay Forbes,Ontario Libertarian Party
Prince Edward—Hastings,Anita Payne,Green Party of Ontario
Prince Edward—Hastings,Todd Smith,Progressive Conservative Party of Ontario
Prince Edward—Hastings,Merrill Stewart,New Democratic Party of Ontario
Prince Edward—Hastings,Georgina Thompson,Ontario Liberal Party
Renfrew—Nipissing—Pembroke,Chad Beckwith-Smith,Independent
Renfrew—Nipissing—Pembroke,Rod Boileau,Ontario Liberal Party
Renfrew—Nipissing—Pembroke,Brian Dougherty,New Democratic Party of Ontario
Renfrew—Nipissing—Pembroke,Murray Reid,Ontario Provincial Confederation of Regions Party
Renfrew—Nipissing—Pembroke,Benjamin Wright,Green Party of Ontario
Renfrew—Nipissing—Pembroke,John Yakabuski,Progressive Conservative Party of Ontario
Richmond Hill,Igor Bily,Ontario Libertarian Party
Richmond Hill,Adam DeVita,New Democratic Party of Ontario
Richmond Hill,Yuri Duboisky,Ontario Moderate Party
Richmond Hill,Vic Gupta,Progressive Conservative Party of Ontario
Richmond Hill,Rachael Lave,Green Party of Ontario
Richmond Hill,Reza Moridi,Ontario Liberal Party
St. Catharines,Jim Bradley,Ontario Liberal Party
St. Catharines,Nicholas Dushko,Ontario Libertarian Party
St. Catharines,Karen Fraser,Green Party of Ontario
St. Catharines,Mat Siscoe,Progressive Conservative Party of Ontario
St. Catharines,Jennie Stevens,New Democratic Party of Ontario
St. Catharines,Dave Unrau,Freedom Party of Ontario
St. Catharines,Saleh Waziruddin,Communist Party of Canada (Ontario)
St. Paul's,Justine Deluce,Progressive Conservative Party of Ontario
St. Paul's,Eric Hoskins,Ontario Liberal Party
St. Paul's,John Kittredge,Ontario Libertarian Party
St. Paul's,Josh Rachlis,Green Party of Ontario
St. Paul's,Mike Rita,Freedom Party of Ontario
St. Paul's,Luke Savage,New Democratic Party of Ontario
Sarnia—Lambton,Bob Bailey,Progressive Conservative Party of Ontario
Sarnia—Lambton,Andrew K. Falby,Ontario Libertarian Party
Sarnia—Lambton,Anne Marie Gillis,Ontario Liberal Party
Sarnia—Lambton,Kevin Shaw,Green Party of Ontario
