Riding	Poll	R	FPTP	MMP	Rejected	Unmarked	Declined	Voter turnout	Number of names	Location of voting place	EDPOLL_KEY	Poll Number padded	MMP PCT
13	109		182	78	0	0	0	260	559	Kanata Recreational Complex	13-109	109	30
13	110		152	58	0	2	0	212	470	Holy Trinity Catholic High School	13-110	110	27.358490566
13	111		195	74	1	1	0	271	532	Kanata Recreational Complex	13-111	111	27.3062730627
13	112		188	94	1	2	0	285	455	Kanata Recreational Complex	13-112	112	32.9824561404
13	113		76	36	0	0	0	112	329	Kanata Recreational Complex	13-113	113	32.1428571429
13	114		198	95	0	0	0	293	511	Kanata Recreational Complex	13-114	114	32.4232081911
13	115		175	83	1	2	0	261	439	Kanata Baptist Church	13-115	115	31.8007662835
13	116		113	41	1	0	1	156	345	St. Martin de Porres School	13-116	116	26.2820512821
13	117		113	57	2	4	0	176	355	Kanata Baptist Church	13-117	117	32.3863636364
13	118		149	72	0	4	1	226	397	St. Martin de Porres School	13-118	118	31.8584070796
13	119		163	68	0	1	0	232	418	John Young Elementary School	13-119	119	29.3103448276
13	120		84	38	0	2	0	124	301	John Young Elementary School	13-120	120	30.6451612903
13	121		178	86	0	0	0	264	463	St. Martin de Porres School	13-121	121	32.5757575758
13	122s		8	7	0	3	0	18	34	Fairfield Manor	#VALUE!	#VALUE!	38.8888888889
13	123		133	56	0	4	0	193	379	John Young Elementary School	13-123	123	29.0155440415
13	124		85	35	0	2	0	122	307	Kanata Baptist Church	13-124	124	28.6885245902
13	125		176	62	1	1	0	240	410	Glen Cairn United Church	13-125	125	25.8333333333
13	126		127	45	0	4	3	179	359	John Young Elementary School	13-126	126	25.1396648045
13	127		49	27	0	0	1	77	181	Glen Cairn United Church	13-127	127	35.0649350649
13	128		132	60	0	2	0	194	408	John Young Elementary School	13-128	128	30.9278350515
13	129		150	65	1	1	1	218	371	Glen Cairn United Church	13-129	129	29.8165137615
13	130s		36	12	1	8	8	65	111	Kanata Care Centre	#VALUE!	#VALUE!	18.4615384615
13	131		78	51	0	2	0	131	331	Glen Cairn United Church	13-131	131	38.9312977099
13	132		115	41	0	1	0	157	301	John Young Elementary School	13-132	132	26.1146496815
13	133		113	51	1	1	0	166	326	Glen Cairn United Church	13-133	133	30.7228915663
13	134		151	79	0	0	2	232	401	Holy Redeemer Church Hall	13-134	134	34.0517241379
13	135		158	67	0	2	0	227	370	Glen Cairn United Church	13-135	135	29.5154185022
13	136		134	55	0	1	0	190	351	Holy Redeemer Church Hall	13-136	136	28.9473684211
13	137		153	59	1	1	0	214	442	St. James Catholic Elementary School	13-137	137	27.5700934579
13	138A		107	41	0	4	0	152	297	St. James Catholic Elementary School	#VALUE!	#VALUE!	26.9736842105
13	138B		91	31	0	0	2	124	276	St. James Catholic Elementary School	#VALUE!	#VALUE!	25
13	139		178	87	2	0	0	267	527	Bridlewood Community Church of the Nazarene	13-139	139	32.5842696629
13	140		131	74	0	1	0	206	401	St. James Catholic Elementary School	13-140	140	35.9223300971
13	141		169	62	0	2	3	236	471	Bridlewood Community Church of the Nazarene	13-141	141	26.2711864407
13	142		153	59	0	1	0	213	453	St. James Catholic Elementary School	13-142	142	27.6995305164
13	143		168	67	0	2	0	237	466	W.O. Mitchell Elementary School	13-143	143	28.2700421941
13	144		97	49	1	1	0	148	409	St. James Catholic Elementary School	13-144	144	33.1081081081
13	145		226	92	3	0	0	321	534	W.O. Mitchell Elementary School	13-145	145	28.6604361371
13	146		88	51	0	3	0	142	298	Bridlewood Community Church of the Nazarene	13-146	146	35.9154929577
13	147		140	78	0	3	2	223	455	W.O. Mitchell Elementary School	13-147	147	34.9775784753
13	148		124	83	0	5	0	212	412	W.O. Mitchell Elementary School	13-148	148	39.1509433962
13	149		155	64	1	3	0	223	381	Bridlewood Community Centre	13-149	149	28.6995515695
13	150s		73	15	1	3	2	94	131	Stonehaven Manor	#VALUE!	#VALUE!	15.9574468085
13	151		121	70	0	2	0	193	399	W.O. Mitchell Elementary School	13-151	151	36.2694300518
13	152		121	34	1	2	0	158	312	Bridlewood Community Centre	13-152	152	21.5189873418
13	153		87	28	0	1	0	116	273	Bridlewood Community Centre	13-153	153	24.1379310345
13	154		87	53	1	0	0	141	324	Bridlewood Community Centre	13-154	154	37.5886524823
13	155		129	61	0	0	0	190	374	St. Anne Catholic School	13-155	155	32.1052631579
13	156		115	43	0	1	0	159	313	Bridlewood Community Centre	13-156	156	27.0440251572
13	157		108	22	0	3	0	133	316	Bridlewood Community Centre	13-157	157	16.5413533835
13	158		140	61	1	1	0	203	361	St. Anne Catholic School	13-158	158	30.0492610837
13	159		126	32	0	3	0	161	322	St. Anne Catholic School	13-159	159	19.8757763975
13	160		110	59	2	2	2	175	417	St. Anne Catholic School	13-160	160	33.7142857143
13	161		100	56	0	3	0	159	424	Stewart Community Centre	13-161	161	35.2201257862
13	162		157	59	1	0	1	218	407	St. Michael's Catholic Elementary School	13-162	162	27.0642201835
13	163		176	55	1	2	0	234	486	St. Michael's Catholic Elementary School	13-163	163	23.5042735043
13	164		98	44	0	0	1	143	343	Stittsville Community Centre	13-164	164	30.7692307692
13	165		77	51	0	1	1	130	321	A. Lorne Cassidy Elementary School	13-165	165	39.2307692308
13	166		175	69	0	3	0	247	533	Holy Spirit Catholic School	13-166	166	27.9352226721
13	167		134	48	0	1	0	183	352	Sacred Heart High School	13-167	167	26.2295081967
13	168		163	20	0	0	1	184	312	Sacred Heart High School	13-168	168	10.8695652174
13	169		137	20	0	2	0	159	298	Sacred Heart High School	13-169	169	12.5786163522
13	170		126	50	0	0	1	177	392	Sacred Heart High School	13-170	170	28.2485875706
13	171		153	60	1	2	1	217	499	Fringewood Community Centre	13-171	171	27.6497695853
13	172		176	80	0	1	0	257	490	Sacred Heart High School	13-172	172	31.1284046693
13	173		168	33	0	3	1	205	379	Sacred Heart High School	13-173	173	16.0975609756
13	174		113	47	0	1	0	161	324	Sacred Heart High School	13-174	174	29.1925465839
13	175		187	62	0	3	7	259	656	Fringewood Community Centre	13-175	175	23.9382239382
13	176		152	62	1	1	0	216	451	Fringewood Community Centre	13-176	176	28.7037037037
13	177		87	49	2	3	1	142	343	John Young Elementary School	13-177	177	34.5070422535
13	178		154	73	0	0	0	227	467	Bridlewood Community Church of the Nazarene	13-178	178	32.1585903084
13	179		154	62	0	5	0	221	473	Bridlewood Community Centre	13-179	179	28.0542986425
13	180		74	31	0	4	0	109	339	Bridlewood Community Centre	13-180	180	28.4403669725
13	181		135	42	0	0	0	177	373	Bridlewood Community Centre	13-181	181	23.7288135593
13	182A		131	65	0	1	0	197	426	St. Anne Catholic School	#VALUE!	#VALUE!	32.9949238579
13	182B		117	42	1	1	0	161	354	St. Anne Catholic School	#VALUE!	#VALUE!	26.0869565217
13	183		99	45	0	1	0	145	273	Bridlewood Community Centre	13-183	183	31.0344827586
13	184		72	61	0	1	0	134	324	Bridlewood Community Centre	13-184	184	45.5223880597
13	185		147	68	0	4	0	219	435	St. Anne Catholic School	13-185	185	31.0502283105
13	186		123	58	1	3	0	185	434	St. Anne Catholic School	13-186	186	31.3513513514
13	187		154	72	0	5	0	231	442	St. Anne Catholic School	13-187	187	31.1688311688
13	188		137	44	1	0	1	183	378	Stewart Community Centre	13-188	188	24.043715847
13	189		162	61	2	1	0	226	442	St. Michael's Catholic Elementary School	13-189	189	26.9911504425
13	190		110	63	0	0	0	173	348	A. Lorne Cassidy Elementary School	13-190	190	36.4161849711
13	191		95	54	0	1	0	150	327	Holy Spirit Catholic School	13-191	191	36
13	192		105	46	0	2	0	153	313	Holy Spirit Catholic School	13-192	192	30.0653594771
13	193		91	37	0	1	0	129	300	A. Lorne Cassidy Elementary School	13-193	193	28.6821705426
13	194		136	73	1	2	0	212	366	A. Lorne Cassidy Elementary School	13-194	194	34.4339622642
13	195		154	49	0	1	0	204	386	Stittsville Community Centre	13-195	195	24.0196078431
13	196		117	54	0	1	0	172	392	Stittsville Community Centre	13-196	196	31.3953488372
13	197		171	61	0	5	0	237	415	Stittsville Community Centre	13-197	197	25.7383966245
13	198		138	52	1	2	0	193	389	Stittsville Community Centre	13-198	198	26.9430051813
13	199		109	39	0	3	0	151	319	Holy Spirit Catholic School	13-199	199	25.8278145695
13	200		133	68	0	2	0	203	390	Holy Spirit Catholic School	13-200	200	33.4975369458
13	201s		21	6	0	5	0	32	46	Stittsville Villa	#VALUE!	#VALUE!	18.75
13	202s		27	9	0	10	5	51	89	Stittsville Villa	#VALUE!	#VALUE!	17.6470588235
13	203		118	39	2	2	0	161	316	Stittsville Community Centre	13-203	203	24.2236024845
13	204		139	48	0	0	0	187	363	Stittsville Community Centre	13-204	204	25.6684491979
13	205		142	47	0	0	0	189	368	Holy Spirit Catholic School	13-205	205	24.8677248677
13	206		186	81	0	2	0	269	454	Pretty Street Community Centre	13-206	206	30.1115241636
13	207		140	43	2	1	0	186	366	Pretty Street Community Centre	13-207	207	23.1182795699
13	208		138	48	13	1	0	200	418	Stittsville Community Centre	13-208	208	24
13	209		191	62	0	3	0	256	485	Sacred Heart High School	13-209	209	24.21875
13	210		150	54	1	1	0	206	419	Stittsville Community Centre	13-210	210	26.213592233
13	211		215	65	3	3	0	286	504	Pretty Street Community Centre	13-211	211	22.7272727273
13	212		184	66	0	0	0	250	471	Guardian Angels Catholic School	13-212	212	26.4
13	213		88	52	0	0	0	140	327	Guardian Angels Catholic School	13-213	213	37.1428571429
13	214		152	65	0	3	0	220	453	Guardian Angels Catholic School	13-214	214	29.5454545455
13	215		170	85	0	4	0	259	495	Stewart Community Centre	13-215	215	32.8185328185
13	216		38	14	0	0	0	52	108	Stittsville Community Centre	13-216	216	26.9230769231
13	217		35	23	0	0	1	59	111	Stittsville Community Centre	13-217	217	38.9830508475
13	218		82	34	0	0	0	116	179	Guardian Angels Catholic School	13-218	218	29.3103448276
13	219		167	53	0	1	0	221	396	Guardian Angels Catholic School	13-219	219	23.9819004525
13	220		136	42	0	0	0	178	349	Chapel Ridge Free Methodist Church	13-220	220	23.595505618
13	221		98	56	1	0	0	155	290	Almonte District High School	13-221	221	36.1290322581
13	222		75	41	1	0	8	125	304	Almonte District High School	13-222	222	32.8
13	223		87	35	0	0	0	122	276	Almonte District High School	13-223	223	28.6885245902
13	224		143	59	0	5	0	207	438	R. Tait Mckenzie Public School	13-224	224	28.5024154589
13	225		133	51	0	2	0	186	414	R. Tait Mckenzie Public School	13-225	225	27.4193548387
13	226		240	86	0	2	1	329	633	St. Michael's Catholic Elementary School	13-226	226	26.1398176292
13	227		156	41	0	2	0	199	428	A. Lorne Cassidy Elementary School	13-227	227	20.6030150754
13	228		142	47	0	2	0	191	422	Richmond Community Centre	13-228	228	24.6073298429
13	229		55	38	0	1	0	94	224	Clayton Recreational Centre	13-229	229	40.4255319149
13	230		125	68	0	3	0	196	375	Naismith Memorial Public School	13-230	230	34.693877551
13	231		71	43	0	1	0	115	218	Naismith Memorial Public School	13-231	231	37.3913043478
13	232		179	59	0	4	1	243	416	Naismith Memorial Public School	13-232	232	24.2798353909
13	233		102	39	1	1	0	143	230	Naismith Memorial Public School	13-233	233	27.2727272727
13	234		90	56	0	0	2	148	329	Almonte District High School	13-234	234	37.8378378378
13	235s		23	4	0	2	2	31	102	Fairview Manor & Almonte Hospital	#VALUE!	#VALUE!	12.9032258065
13	236		110	45	1	8	2	166	343	Naismith Memorial Public School	13-236	236	27.1084337349
13	237s		15	2	2	1	3	23	80	Almonte Country Haven	#VALUE!	#VALUE!	8.6956521739
13	238s		4	1	0	7	3	15	56	Fairview Manor & Almonte Hospital	#VALUE!	#VALUE!	6.6666666667
13	239		67	40	0	0	0	107	292	Naismith Memorial Public School	13-239	239	37.3831775701
13	240		98	28	0	0	0	126	245	Richmond Community Centre	13-240	240	22.2222222222
13	242s		10	4	1	2	0	17	39	Richmond Lodge	#VALUE!	#VALUE!	23.5294117647
13	243s		19	3	0	2	0	24	39	Goodwood Apartments	#VALUE!	#VALUE!	12.5
13	244		67	26	0	0	2	95	147	Richmond Community Centre	13-244	244	27.3684210526
13	245		121	54	0	0	0	175	350	St. John's Anglican Church Hall	13-245	245	30.8571428571
13	246		160	44	1	3	1	209	408	Richmond Community Centre	13-246	246	21.0526315789
13	247		40	148	1	1	0	190	417	Richmond Community Centre	13-247	247	77.8947368421
13	248		108	34	0	2	0	144	277	St. John's Anglican Church Hall	13-248	248	23.6111111111
13	249		133	56	0	2	0	191	382	St. John's Anglican Church Hall	13-249	249	29.3193717277
13	250		125	46	1	4	0	176	323	Clayton Recreational Centre	13-250	250	26.1363636364
13	251		70	28	0	0	0	98	209	Naismith Memorial Public School	13-251	251	28.5714285714
13	252		63	29	0	0	0	92	222	R. Tait Mckenzie Public School	13-252	252	31.5217391304
13	253		172	67	0	2	0	241	464	Munster Community Centre	13-253	253	27.8008298755
13	254		122	25	0	2	0	149	265	St. John's Anglican Church Hall	13-254	254	16.7785234899
13	255		222	96	2	3	0	323	640	Olde Barracks Mississippi School	13-255	255	29.7213622291
13	256		163	41	1	1	0	206	396	Munster Community Centre	13-256	256	19.9029126214
13	257		198	74	0	1	0	273	466	Munster United Church	13-257	257	27.1062271062
13	258		169	68	0	5	0	242	449	Munster United Church	13-258	258	28.0991735537
13	259		155	40	1	0	0	196	362	St. John's Anglican Church Hall	13-259	259	20.4081632653
13	260A		78	59	3	1	0	141	296	Clayton Recreational Centre	#VALUE!	#VALUE!	41.8439716312
13	260B		88	23	1	2	0	114	289	Clayton Recreational Centre	#VALUE!	#VALUE!	20.1754385965
13	261		77	35	0	2	0	114	260	Olde Barracks Mississippi School	13-261	261	30.701754386
13	262		159	60	2	2	0	223	420	Munster Community Centre	13-262	262	26.9058295964
13	263		94	22	0	0	0	116	242	Munster Community Centre	13-263	263	18.9655172414
13	264		155	69	0	4	2	230	468	Olde Barracks Mississippi School	13-264	264	30
13	400		56	33	0	0	1	90	157	Park Ridge Place	13-400	400	36.6666666667
13	401		88	19	1	0	0	108	165	Park Ridge Place	13-401	401	17.5925925926
13	402		66	19	1	3	1	90	173	Park Ridge Place	13-402	402	21.1111111111
13	403		128	41	0	5	2	176	277	Atriums	13-403	403	23.2954545455
13	ADV001		1289	545	6	12	6	1858	0	Returning Office / Bureau du directeur du scrutin	#VALUE!	#VALUE!	29.3326157158
13	ADV002		739	267	2	9	0	1017	0	Bridlewood Community Church of the Nazarene	#VALUE!	#VALUE!	26.2536873156
13	ADV003		715	191	2	14	0	922	0	Ward 6 Councillor's Office	#VALUE!	#VALUE!	20.715835141
13	ADV004		592	230	6	15	0	843	0	Former Grafix Express	#VALUE!	#VALUE!	27.2835112693
13	ADV005		337	87	2	5	1	432	0	West Carleton Community Complex	#VALUE!	#VALUE!	20.1388888889
13	ADV006		261	66	0	4	2	333	0	St. John's Anglican Church Hall	#VALUE!	#VALUE!	19.8198198198
13	ADV007		413	182	2	3	1	601	0	Parish of St. Isidore	#VALUE!	#VALUE!	30.2828618968
52	1		112	46	0	3	0	161	427	Royal Canadian Legion Greely and District	52-001	1	28.5714285714
52	2		113	39	1	2	0	155	382	Gloucester South Seniors Centre	52-002	2	25.1612903226
52	3		175	73	0	4	0	252	510	Royal Canadian Legion Greely and District	52-003	3	28.9682539683
52	4		104	39	4	0	2	149	410	Bells Corners Public School	52-004	4	26.1744966443
52	5		205	92	2	6	0	305	538	Arlington Woods Free Methodist Church	52-005	5	30.1639344262
52	6		136	64	0	0	0	200	346	Arlington Woods Free Methodist Church	52-006	6	32
52	7		168	80	1	6	0	255	544	Arlington Woods Free Methodist Church	52-007	7	31.3725490196
52	8		158	100	1	1	2	262	519	Woodvale Pentecostal Church	52-008	8	38.1679389313
52	9		162	60	3	0	0	225	459	Woodvale Pentecostal Church	52-009	9	26.6666666667
52	10		145	69	0	2	0	216	484	Woodvale Pentecostal Church	52-010	10	31.9444444444
52	11		176	80	0	4	0	260	496	Woodvale Pentecostal Church	52-011	11	30.7692307692
52	12		173	105	1	6	2	287	462	Knox United Church	52-012	12	36.5853658537
52	13		140	47	0	2	1	190	449	Woodvale Pentecostal Church	52-013	13	24.7368421053
52	14		156	58	0	2	1	217	353	Knox United Church	52-014	14	26.7281105991
52	15		184	118	2	3	1	308	1133	Woodvale Pentecostal Church	52-015	15	38.3116883117
52	16		159	50	1	6	0	216	373	Manordale Public School	52-016	16	23.1481481481
52	17		116	58	0	1	0	175	419	Woodvale Pentecostal Church	52-017	17	33.1428571429
52	18		180	52	4	2	0	238	418	Manordale Public School	52-018	18	21.8487394958
52	19		50	35	0	1	2	88	339	Manordale Public School	52-019	19	39.7727272727
52	20		111	60	0	2	1	174	508	Nepean Sportsplex	52-020	20	34.4827586207
52	21		166	52	1	3	0	222	524	Nepean Sportsplex	52-021	21	23.4234234234
52	22		148	100	0	0	0	248	555	Nepean Sportsplex	52-022	22	40.3225806452
52	23		87	43	0	1	0	131	329	Nepean Sportsplex	52-023	23	32.8244274809
52	24		156	60	1	1	0	218	479	Nepean Sportsplex	52-024	24	27.5229357798
52	25		183	73	0	4	0	260	519	Nepean Sportsplex	52-025	25	28.0769230769
52	26		122	45	0	2	1	170	525	St. Monica Catholic School	52-026	26	26.4705882353
52	27		156	75	0	5	0	236	426	St. Monica Catholic School	52-027	27	31.7796610169
52	28		169	66	1	3	0	239	437	St. Monica Catholic School	52-028	28	27.6150627615
52	29		135	56	0	1	0	192	381	Gloucester South Seniors Centre	52-029	29	29.1666666667
52	30		141	62	3	0	0	206	371	Gloucester South Seniors Centre	52-030	30	30.0970873786
52	31		131	56	3	2	0	192	443	Royal Canadian Legion Greely and District	52-031	31	29.1666666667
52	32		46	24	0	0	0	70	174	College Catholique Franco-Ouest	52-032	32	34.2857142857
52	033s		22	13	2	7	1	45	104	Robertson House	#VALUE!	#VALUE!	28.8888888889
52	34		89	49	1	1	0	140	312	Westcliffe Community Centre	52-034	34	35
52	35		119	57	0	2	0	178	385	Westcliffe Community Centre	52-035	35	32.0224719101
52	36		90	49	0	1	0	140	291	College Catholique Franco-Ouest	52-036	36	35
