Riding	Poll	R	FPTP	MMP	Rejected	Unmarked	Declined	Voter turnout	Number of names	Location of voting place					
1	50		142	85	2	1	0	230	446	St. Wilfrid Catholic School					VRAI
1	51		145	85	0	6	0	236	505	Eagle Ridge Public School					VRAI
1	52		111	72	0	0	2	185	429	St. Patrick Catholic School					VRAI
1	53		107	67	0	8	0	182	440	St. Patrick Catholic School					VRAI
1	54		127	65	0	3	0	195	406	Eagle Ridge Public School					VRAI
1	55		141	62	0	4	0	207	459	St. Patrick Catholic School					VRAI
1	56		112	74	0	6	0	192	428	St. Patrick Catholic School					VRAI
1	57		124	54	2	3	1	184	418	St. Patrick Catholic School					VRAI
1	58		151	81	0	0	6	238	500	Alexander Graham Bell Public School					VRAI
1	59		139	86	1	5	6	237	490	St. Patrick Catholic School					VRAI
1	60		139	61	0	5	2	207	469	Lincoln Alexander Public School					VRAI
1	61		161	81	0	3	0	245	529	St. Patrick Catholic School					VRAI
1	62		102	43	0	3	0	148	368	Alexander Graham Bell Public School					VRAI
1	63		105	66	0	3	0	174	408	Lester B. Pearson Public School					VRAI
1	64		97	55	1	4	0	157	394	Lincoln Alexander Public School					VRAI
1	65		113	63	0	0	0	176	407	Westney Heights Public School					VRAI
1	66		96	82	0	1	0	179	379	Westney Heights Public School					VRAI
1	67		138	74	1	4	0	217	441	Lester B. Pearson Public School					VRAI
1	68		105	77	2	3	0	187	401	Westney Heights Public School					VRAI
1	69		93	55	0	2	0	150	426	Westney Heights Public School					VRAI
1	70		110	67	0	3	0	180	385	Westney Heights Public School					VRAI
1	71		86	88	0	0	2	176	489	Dr. Roberta Bondar Public School					VRAI
1	72		107	48	2	2	0	159	374	Applecroft Public School					VRAI
1	73		130	67	0	5	0	202	490	Applecroft Public School					VRAI
1	74		115	89	1	5	0	210	452	Dr. Roberta Bondar Public School					VRAI
1	075A		60	67	1	3	0	131	334	Applecroft Public School					VRAI
1	075B		140	81	0	6	0	227	362	Applecroft Public School					VRAI
1	76		69	42	0	0	3	114	515	Applecroft Public School					VRAI
1	77		75	63	0	4	0	142	382	Dr. Roberta Bondar Public School					VRAI
1	78		90	49	1	7	0	147	404	Applecroft Public School					VRAI
1	79		110	65	2	0	0	177	467	Archbishop Denis O'Connor Catholic High School					VRAI
1	80		91	65	0	2	0	158	340	Cadarackque Public School					VRAI
1	81		86	67	0	1	0	154	337	Cadarackque Public School					VRAI
1	82		156	87	0	0	0	243	524	Pine Ridge Secondary School					VRAI
1	83		122	45	1	2	0	170	313	Pine Ridge Secondary School					VRAI
1	84		157	86	2	6	0	251	537	Valley Farm Public School					VRAI
1	085A		66	50	0	3	0	119	263	Valley Farm Public School					VRAI
1	085B		67	61	1	11	0	140	289	Valley Farm Public School					VRAI
1	86		133	73	3	4	0	213	528	Valley Farm Public School					VRAI
1	87		116	86	1	6	1	210	526	Valley Farm Public School					VRAI
1	88		94	68	0	5	0	167	430	Valley Farm Public School					VRAI
1	89		107	70	0	1	0	178	427	St. Wilfrid Catholic School					VRAI
1	90		103	51	0	0	5	159	485	St. Anthony Daniel Catholic School					VRAI
1	91		108	68	0	1	0	177	492	Valley Farm Public School					VRAI
1	092A		74	38	0	3	0	115	283	St. Anthony Daniel Catholic School					VRAI
1	092B		63	37	0	0	1	101	269	St. Anthony Daniel Catholic School					VRAI
1	93		170	96	0	2	0	268	546	Eagle Ridge Public School					VRAI
1	94		161	66	0	1	0	228	428	Eagle Ridge Public School					VRAI
1	95		139	56	0	3	0	198	432	Pickering High School					VRAI
1	096-1s		29	21	0	0	0	50	105	Unity Village					VRAI
1	97		145	70	0	1	0	216	471	Pickering High School					VRAI
1	98		100	56	0	0	0	156	382	Pickering High School					VRAI
1	99		127	68	0	2	0	197	426	Lincoln Alexander Public School					VRAI
1	100		140	77	0	7	0	224	481	Lincoln Alexander Public School					VRAI
1	101		134	62	0	0	2	198	362	Lincoln Alexander Public School					VRAI
1	102		169	97	3	6	1	276	485	Lincoln Avenue Public School					VRAI
1	103		118	68	1	1	1	189	462	Lincoln Alexander Public School					VRAI
1	104		116	76	1	4	0	197	424	Roland Michener Public School					VRAI
1	105		95	72	0	1	0	168	381	Westney Heights Public School					VRAI
1	106		157	69	0	1	0	227	467	Roland Michener Public School					VRAI
1	107		123	78	0	0	8	209	427	Roland Michener Public School					VRAI
1	108		110	62	1	1	2	176	438	Roland Michener Public School					VRAI
1	109		120	67	0	2	0	189	446	Roland Michener Public School					VRAI
1	110		101	84	4	4	0	193	478	Roland Michener Public School					VRAI
1	111		76	73	0	4	1	154	408	Lord Elgin Public School					VRAI
1	112		69	55	0	3	0	127	263	Lord Elgin Public School					VRAI
1	113		98	42	0	1	1	142	358	Lord Elgin Public School					VRAI
1	114		89	54	0	5	1	149	422	Lord Elgin Public School					VRAI
1	115		110	65	0	0	3	178	378	Lord Elgin Public School					VRAI
1	116s		40	6	0	12	2	60	131	Ballycliffe Retirement Home					VRAI
1	117		143	68	1	3	0	215	484	Archbishop Denis O'Connor Catholic High School					VRAI
1	118		91	43	2	4	2	142	346	Archbishop Denis O'Connor Catholic High School					VRAI
1	119		127	93	0	0	0	220	468	Archbishop Denis O'Connor Catholic High School					VRAI
1	120		126	77	0	7	0	210	424	St. Andrews Community Centre					VRAI
1	121A		101	63	2	3	0	169	340	St. Andrews Community Centre					VRAI
1	121B		96	46	0	0	0	142	326	St. Andrews Community Centre					VRAI
1	122		104	90	0	6	1	201	603	Carruthers Creek Public School					VRAI
1	124A		66	44	3	0	0	113	220	Herongate Barn Theatre					VRAI
1	124B		35	54	1	0	0	90	219	Herongate Barn Theatre					VRAI
1	125		114	83	0	1	0	198	529	Pine Ridge Secondary School					VRAI
1	126		128	54	0	4	0	186	423	Pine Ridge Secondary School					VRAI
1	127		162	62	0	3	2	229	523	Pine Ridge Secondary School					VRAI
1	128		158	76	1	1	0	236	461	Maple Ridge Public School					VRAI
1	129		144	78	1	1	0	224	439	Pine Ridge Secondary School					VRAI
1	130		137	69	1	4	0	211	445	Maple Ridge Public School					VRAI
1	131A		96	45	1	0	0	142	266	Maple Ridge Public School					VRAI
1	131B		103	47	0	2	0	152	296	Maple Ridge Public School					VRAI
1	132		108	54	0	3	0	165	490	St. Anthony Daniel Catholic School					VRAI
1	133		61	37	1	2	0	101	223	St. Anthony Daniel Catholic School					VRAI
1	134s		62	14	1	21	1	99	282	Village Retirement Centre					VRAI
1	135		67	69	0	1	0	137	413	Pickering Recreation Complex					VRAI
1	136		125	61	1	1	0	188	418	St. Anthony Daniel Catholic School					VRAI
1	137A		62	50	1	0	0	113	328	Pickering Recreation Complex					VRAI
1	137B		62	49	0	0	5	116	375	Pickering Recreation Complex					VRAI
1	138		58	56	2	0	0	116	378	Pickering High School					VRAI
1	139		75	40	0	0	1	116	439	Pickering High School					VRAI
1	140		53	43	0	0	0	96	314	Pickering High School					VRAI
1	141		123	57	0	2	0	182	371	Lincoln Avenue Public School					VRAI
1	143s		52	14	2	1	0	69	99	Ashley Manor					VRAI
1	144		90	27	0	4	1	122	294	St. Andrews Community Centre					VRAI
1	145		34	33	0	3	0	70	225	Ajax High School					VRAI
1	146s		123	50	12	13	0	198	306	66 Falby Court					VRAI
1	147		110	68	0	2	0	180	361	Ajax High School					VRAI
1	149		83	74	1	5	1	164	405	Ajax High School					VRAI
1	150		92	47	1	2	2	144	411	Ajax High School					VRAI
1	151A		59	37	0	1	0	97	276	Ajax High School					VRAI
1	151B		55	21	1	1	19	97	281	Ajax High School					VRAI
1	152		128	73	0	1	0	202	413	Carruthers Creek Public School					VRAI
1	153		76	66	1	3	1	147	375	Ajax High School					VRAI
1	154		82	67	0	0	2	151	336	Carruthers Creek Community Church					VRAI
1	155		101	58	1	2	1	163	294	Carruthers Creek Community Church					VRAI
1	156		88	46	1	1	0	136	380	Maple Ridge Public School					VRAI
1	157		152	75	1	4	4	236	465	Maple Ridge Public School					VRAI
1	158A		121	49	0	0	4	174	359	Pickering Recreation Complex					VRAI
1	158B		97	45	2	6	0	150	340	Pickering Recreation Complex					VRAI
1	159-1s		16	9	0	1	0	26	29	Chartwell Senior Housing					VRAI
1	160		128	47	0	1	0	176	449	Pickering Recreation Complex					VRAI
1	161s		26	3	1	0	1	31	68	The Parkway Retirement Home					VRAI
1	162		53	35	0	3	0	91	268	Pickering Recreation Complex					VRAI
1	163A		111	54	2	8	1	176	312	Ajax Community Centre					VRAI
1	163B		58	35	0	2	0	95	283	Ajax Community Centre					VRAI
1	164		86	83	0	0	0	169	392	Ajax Community Centre					VRAI
1	165		87	67	0	4	0	158	351	Duffin's Bay Public School					VRAI
1	167s		51	11	0	4	4	70	92	Westwood Manor					VRAI
1	168		107	68	1	3	1	180	427	Ajax Community Centre					VRAI
1	169		99	35	0	1	0	135	276	St. James Catholic School					VRAI
1	170		133	72	0	4	0	209	427	Southwood Park Public School					VRAI
1	171		178	86	0	4	0	268	472	St. James Catholic School					VRAI
1	172		132	70	0	0	0	202	385	Southwood Park Public School					VRAI
1	173		144	57	0	2	1	204	411	Southwood Park Public School					VRAI
1	174		141	65	0	3	0	209	403	Southwood Park Public School					VRAI
1	175		100	68	1	1	1	171	425	Carruthers Creek Public School					VRAI
1	176		109	77	1	7	0	194	457	Carruthers Creek Public School					VRAI
1	177		110	78	0	3	1	192	380	Carruthers Creek Public School					VRAI
1	178		117	62	0	1	1	181	383	Carruthers Creek Public School					VRAI
1	179		146	75	0	4	0	225	415	Carruthers Creek Community Church					VRAI
1	180		90	54	1	1	0	146	312	Carruthers Creek Community Church					VRAI
1	181		132	90	0	2	0	224	401	Carruthers Creek Community Church					VRAI
1	182		84	42	0	3	1	130	295	Carruthers Creek Community Church					VRAI
1	183		94	77	0	2	0	173	343	Carruthers Creek Community Church					VRAI
1	184		80	62	0	1	0	143	355	Carruthers Creek Community Church					VRAI
1	185		81	67	0	0	0	148	390	Carruthers Creek Community Church					VRAI
1	186		83	26	1	2	0	112	401	Pickering High School					VRAI
1	187A		88	41	1	1	0	131	325	Ajax Community Centre					VRAI
1	187B		89	58	1	4	0	152	321	Ajax Community Centre					VRAI
1	188		175	82	1	2	1	261	476	Lakeside Public School					VRAI
1	189		119	62	2	0	0	183	376	Lakeside Public School					VRAI
1	190		56	29	0	2	0	87	165	Lakeside Public School					VRAI
1	191		102	50	0	2	0	154	298	Lakeside Public School					VRAI
1	192		147	79	1	6	0	233	445	Duffin's Bay Public School					VRAI
1	193		210	84	3	0	0	297	490	Lakeside Public School					VRAI
1	194		166	105	1	0	0	272	467	Duffin's Bay Public School					VRAI
1	195		110	101	0	0	1	212	434	Duffin's Bay Public School					VRAI
1	196		163	80	2	0	0	245	463	St. James Catholic School					VRAI
1	197		175	102	0	3	0	280	475	Duffin's Bay Public School					VRAI
1	198		104	40	0	0	0	144	268	St. James Catholic School					VRAI
1	199		121	71	1	5	3	201	413	St. James Catholic School					VRAI
1	200		136	79	0	1	1	217	435	St. James Catholic School					VRAI
1	201		148	66	0	3	0	217	407	Southwood Park Public School					VRAI
1	202		134	63	0	3	1	201	382	Southwood Park Public School					VRAI
1	203		195	85	1	2	1	284	472	Lakeside Public School					VRAI
1	400		89	45	0	2	0	136	188	Top of Westney					VRAI
1	403		123	68	0	4	0	195	306	Emerald Point					VRAI
1	404		84	31	0	6	0	121	170	Village Gardens					VRAI
1	405		152	50	4	3	0	209	266	44 Falby Court					VRAI
1	406		82	57	1	1	5	146	261	33 Falby Court					VRAI
1	407		83	64	0	0	4	151	282	55 Falby Court					VRAI
1	409		52	30	0	0	1	83	144	1625 Pickering Parkway					VRAI
1	410		79	54	0	7	0	140	288	77 Falby Court					VRAI
1	ADV001		556	365	2	26	1	950	0	Returning Office / Bureau du directeur du scrutin					VRAI
1	ADV002		683	386	4	18	0	1091	0	Ajax Public Library					VRAI
1	ADV003		135	105	0	0	1	241	0	Tribute Lakeside Pavilion					VRAI
1	ADV004		678	402	2	15	1	1098	0	Mclean's Community Centre					VRAI
1	ADV005		384	223	0	8	1	616	0	Pickering Recreation Complex					VRAI
1	ADV006		100	49	1	1	0	151	0	Claremont Community Centre					VRAI
2	1		20	15	1	0	0	36	155	Hornepayne Recreation Complex					VRAI
2	2		14	6	0	0	0	20	86	Manitouwadge Recreation Centre					VRAI
2	3		87	25	1	3	0	116	263	Manitouwadge Recreation Centre					VRAI
2	4		71	21	1	0	0	93	260	Manitouwadge Recreation Centre					VRAI
2	5		60	30	0	1	0	91	255	Manitouwadge Recreation Centre					VRAI
2	6		30	15	0	1	0	46	145	Manitouwadge Recreation Centre					VRAI
2	007s		0	0	0	4	0	4	4	Manitouwadge General Hospital					VRAI
2	8		37	16	0	0	0	53	159	Manitouwadge Recreation Centre					VRAI
2	9		47	22	0	1	0	70	220	Hornepayne Recreation Complex					VRAI
2	10		37	33	0	1	0	71	290	Hornepayne Recreation Complex					VRAI
2	011s		0	0	0	0	0	0	1	Hornepayne Community Hospital					VRAI
2	12		72	19	0	1	0	92	238	Manitouwadge Recreation Centre					VRAI
2	13		45	14	1	2	0	62	172	Manitouwadge Recreation Centre					VRAI
2	14		31	15	1	0	0	47	154	Hornepayne Recreation Complex					VRAI
2	15		4	2	0	0	0	6	21	Oba - Blanchette Residence					VRAI
2	17		92	30	1	2	0	125	224	White River Amenity Space					VRAI
2	18		53	27	0	3	1	84	203	White River Amenity Space					VRAI
2	19		34	52	0	1	0	87	198	White River Amenity Space					VRAI
2	21		57	27	5	3	0	92	273	Dubreuilville Social and Cultural Centre					VRAI
2	22		12	6	0	0	0	18	34	Missarenda Public School					VRAI
2	23		44	22	2	0	0	68	258	Dubreuilville Social and Cultural Centre					VRAI
2	25		37	37	1	1	1	77	219	Michipicoten Memorial Community Centre					VRAI
2	26		44	10	0	1	0	55	112	Chapleau High School					VRAI
2	27		7	4	0	0	0	11	54	Michipicoten Memorial Community Centre					VRAI
2	28		102	41	0	4	0	147	318	Michipicoten Memorial Community Centre					VRAI
2	29		83	22	0	2	0	107	266	Michipicoten Memorial Community Centre					VRAI
2	30		73	32	1	0	0	106	254	Michipicoten Memorial Community Centre					VRAI
2	31		23	15	0	1	0	39	173	Michipicoten Memorial Community Centre					VRAI
2	32		69	42	0	1	0	112	290	Michipicoten Memorial Community Centre					VRAI
2	033s		5	0	1	0	0	6	18	Lady Dunn Health Centre					VRAI
2	34		49	19	0	1	0	69	220	Michipicoten Memorial Community Centre					VRAI
2	35		45	31	1	6	0	83	240	Michipicoten Memorial Community Centre					VRAI
2	36		66	31	0	4	0	101	193	Hawk Junction Community Hall					VRAI
2	37		94	68	2	4	1	169	470	Michipicoten Memorial Community Centre					VRAI
2	38		79	14	0	1	0	94	341	Chapleau High School					VRAI
2	039s		4	2	0	0	0	6	11	Chapleau Bignucolo Residence					VRAI
2	40		66	26	0	2	0	94	290	Chapleau High School					VRAI
2	42		9	21	1	1	0	32	73	Fox Lake Cree Band Office					VRAI
2	43		75	16	2	3	0	96	415	Chapleau High School					VRAI
2	44		0	0	0	0	5	5	17	Chapleau Ojibway Band Office					VRAI
2	45		57	23	1	0	0	81	362	Chapleau High School					VRAI
2	46		11	50	0	4	0	65	349	Chapleau High School					VRAI
2	48		15	10	0	1	0	26	40	Sultan - Ted Castilloux Residence					VRAI
2	49		1	5	0	0	0	6	7	Montreal River Northgate Service Centre					VRAI
2	51		73	37	1	4	0	115	179	C.O. Somes Community Centre					VRAI
2	52		111	55	0	1	0	167	309	Goulais River Mccauley's Motel					VRAI
2	53		95	29	1	0	0	125	211	Searchmont Community Centre					VRAI
2	54		34	23	0	3	0	60	108	Wharncliffe Community Hall					VRAI
2	55		15	11	0	1	0	27	90	Goulais River Captain Tilley's Community Centre					VRAI
2	56		17	8	1	0	0	26	59	Goulais River Captain Tilley's Community Centre					VRAI
2	57		87	35	0	3	1	126	330	Goulais River Captain Tilley's Community Centre					VRAI
2	58		49	25	0	0	0	74	227	Heyden-Aweres Public School					VRAI
2	59		19	4	0	4	0	27	45	Kynock Community Hall					VRAI
2	60		145	44	2	3	0	194	381	Prince Township Municipal Office					VRAI
2	61		12	2	2	0	0	16	51	Goulais River Captain Tilley's Community Centre					VRAI
2	62		97	37	0	1	0	135	338	Goulais River Captain Tilley's Community Centre					VRAI
2	63		75	33	0	3	0	111	209	Heyden-Aweres Public School					VRAI
2	64		96	42	1	6	0	145	292	Heyden-Aweres Public School					VRAI
2	65		107	40	1	1	0	149	428	Heyden-Aweres Public School					VRAI
2	66		19	17	0	0	0	36	86	Heyden-Aweres Public School					VRAI
2	67		89	43	0	3	1	136	200	Heyden-Aweres Public School					VRAI
2	68		50	16	0	3	2	71	106	Massey S. Geiger Public School					VRAI
2	69		147	49	0	1	0	197	345	Prince Township Municipal Office					VRAI
2	70		20	11	1	0	0	32	212	Garden River Community Centre (First Nation)					VRAI
2	71		61	68	0	8	0	137	554	Garden River Community Centre (First Nation)					VRAI
2	72		83	45	0	2	2	132	261	Sylvan Valley Community Hall					VRAI
2	73		68	39	0	4	1	112	213	Sylvan Valley Community Hall					VRAI
2	74		38	20	1	0	0	59	114	Collins Hall					VRAI
2	75		53	24	1	4	0	82	158	Echo Bay Community Hall					VRAI
2	76		84	37	0	2	0	123	300	Bar River Community Hall					VRAI
2	77		127	40	0	0	0	167	351	Laird Township Community Hall					VRAI
2	78		72	31	0	1	0	104	263	Echo Bay Community Hall					VRAI
2	79		56	22	0	2	0	80	186	Johnson-Tarbutt Public School					VRAI
2	80		60	32	0	3	0	95	256	Collins Hall					VRAI
2	81		60	46	0	11	0	117	317	Collins Hall					VRAI
2	82		38	21	0	0	0	59	150	Collins Hall					VRAI
2	83		100	52	1	6	1	160	309	Collins Hall					VRAI
2	84		108	36	0	1	0	145	328	Collins Hall					VRAI
2	85		89	28	0	7	0	124	278	Our Lady of Lourdes French Immersion School					VRAI
2	86		81	33	1	3	0	118	283	George Vanier School					VRAI
2	87		88	28	0	0	1	117	300	Collins Hall					VRAI
2	88		85	29	0	3	1	118	273	Collins Hall					VRAI
2	90		77	38	0	6	0	121	249	Collins Hall					VRAI
2	91		104	27	2	5	0	138	329	George Vanier School					VRAI
2	92		129	44	0	4	4	181	371	Our Lady of Lourdes French Immersion School					VRAI
2	93		50	25	0	4	4	83	198	Collins Hall					VRAI
2	94		103	39	0	3	0	145	308	George Vanier School					VRAI
2	95		117	38	2	1	1	159	342	George Vanier School					VRAI
2	96		70	34	3	6	0	113	248	Our Lady of Lourdes French Immersion School					VRAI
2	97		57	33	1	1	0	92	214	Collins Hall					VRAI
2	098s		16	10	1	2	0	29	55	Hillside Park Retirement Residence					VRAI
2	99		64	32	2	4	0	102	257	Collins Hall					VRAI
2	100		87	34	1	0	0	122	339	Our Lady of Lourdes French Immersion School					VRAI
2	101s		5	3	0	2	0	10	28	Huron Lodge					VRAI
2	102		73	29	0	3	0	105	242	Collins Hall					VRAI
2	103		92	48	0	4	0	144	340	New Life Pentecostal Church					VRAI
2	104		101	49	1	4	1	156	345	New Life Pentecostal Church					VRAI
2	105		146	54	3	4	0	207	404	Webbwood Senior Citizens Club					VRAI
2	106		43	12	0	3	0	58	225	Nairn Centre Community Hall					VRAI
2	107		119	57	1	4	0	181	329	Laird Township Community Hall					VRAI
2	108		168	51	3	3	0	225	343	St. Joseph Island Public School					VRAI
2	109		144	28	2	2	0	176	261	Tarbutt Township Council Chambers					VRAI
2	110		145	69	0	1	1	216	350	St. Joseph Island Public School					VRAI
2	111		108	36	1	3	2	150	264	Johnson-Tarbutt Public School					VRAI
2	112		64	17	0	3	0	84	195	Bruce Mines Community Hall					VRAI
2	113		101	33	2	3	0	139	240	Bruce Mines Community Hall					VRAI
2	114		205	68	2	4	0	279	496	Bruce Station Community Hall					VRAI
2	115		96	31	2	3	0	132	298	Thessalon New Ontario Lodge					VRAI
2	116s		28	10	0	2	0	40	112	Algoma Manor					VRAI
2	117		152	47	1	7	0	207	406	Iron Bridge Lions Hall					VRAI
2	118		58	37	0	0	0	95	245	Mississauga Dreamcatcher Complex					VRAI
2	119		133	42	1	2	0	178	418	Blind River Community Complex					VRAI
2	120		90	31	0	5	1	127	323	Our Lady of Lourdes French Immersion School					VRAI
2	121		74	31	4	0	0	109	328	Our Lady of Lourdes French Immersion School					VRAI
2	122		99	52	1	0	0	152	369	Collins Hall					VRAI
2	123		52	21	0	1	0	74	201	George Vanier School					VRAI
2	124		79	35	0	3	1	118	238	New Life Pentecostal Church					VRAI
2	125		72	22	0	2	0	96	240	New Life Pentecostal Church					VRAI
2	126		89	31	1	2	1	124	260	New Life Pentecostal Church					VRAI
2	127		53	22	0	4	0	79	176	Township of Spanish Municipal Office					VRAI
2	128		137	43	0	0	3	183	418	Massey S. Geiger Public School					VRAI
2	130		80	36	1	3	1	121	335	Webbwood Senior Citizens Club					VRAI
2	131		93	34	0	1	2	130	309	Espanola Community Complex					VRAI
2	132		105	53	0	5	0	163	310	Espanola Community Complex					VRAI
2	133s		28	5	1	9	0	43	114	Espanola Nursing Home					VRAI
2	134		116	39	0	0	1	156	323	Espanola Community Complex					VRAI
2	135		99	38	1	3	0	141	273	Espanola Community Complex					VRAI
2	136		72	25	0	2	0	99	212	Espanola Community Complex					VRAI
2	137		97	29	0	1	0	127	287	Espanola Community Complex					VRAI
2	138		62	25	1	2	0	90	213	Espanola Community Complex					VRAI
2	139		100	38	1	5	0	144	269	Espanola Community Complex					VRAI
2	140		80	29	0	5	0	114	273	Espanola Community Complex					VRAI
2	141		86	22	2	7	1	118	278	Espanola Community Complex					VRAI
2	142		69	39	0	1	0	109	288	Espanola Community Complex					VRAI
2	143		77	29	0	5	1	112	283	Espanola Community Complex					VRAI
2	144		91	40	3	5	0	139	252	Baldwin Town Hall					VRAI
2	145		56	31	0	1	1	89	264	Espanola Community Complex					VRAI
2	146		78	38	1	5	1	123	222	Nairn Centre Community Hall					VRAI
2	147		143	55	1	2	0	201	306	Jocelyn Township Council Chambers					VRAI
2	148		160	52	2	3	0	217	338	Hilton Beach Community Hall					VRAI
2	149		101	35	1	2	1	140	345	Thessalon New Ontario Lodge					VRAI
2	150		147	27	1	1	1	177	379	Little Rapids Community Hall					VRAI
2	151		86	24	2	2	0	114	308	Thessalon New Ontario Lodge					VRAI
2	152		25	12	0	0	0	37	47	Thessalon First Nation Library					VRAI
2	153		85	29	1	2	0	117	213	Sowerby Community Hall					VRAI
2	154		113	36	0	4	0	153	264	Iron Bridge Lions Hall					VRAI
2	155		62	18	4	1	0	85	243	Blind River Community Complex					VRAI
2	157		30	18	0	2	0	50	178	Blind River Community Complex					VRAI
2	158		67	17	1	10	0	95	217	Blind River Community Complex					VRAI
2	159		79	19	0	3	0	101	254	Blind River Community Complex					VRAI
2	160		43	25	1	2	0	71	164	Blind River Community Complex					VRAI
2	161		60	18	1	2	0	81	193	Blind River Community Complex					VRAI
2	162		66	30	1	6	0	103	252	Blind River Community Complex					VRAI
2	163		80	40	1	3	0	124	290	Blind River Community Complex					VRAI
2	164s		21	4	0	0	0	25	42	Golden Birches Terrace					VRAI
2	165		54	28	0	2	1	85	199	Blind River Community Complex					VRAI
2	166		79	44	0	2	0	125	214	Algoma Mills Community Centre					VRAI
2	167		33	19	0	0	0	52	89	Spragge - Roy's Motel					VRAI
2	169		70	46	1	3	2	122	326	Serpent River Community Hall					VRAI
2	170		38	18	0	4	0	60	90	Rockhaven School					VRAI
2	171		63	29	0	2	0	94	175	Township of Spanish Municipal Office					VRAI
2	172		93	22	1	1	12	129	199	Walford Community Hall					VRAI
2	173		14	11	0	0	0	25	54	Massey S. Geiger Public School					VRAI
2	175		48	23	2	6	1	80	190	Massey S. Geiger Public School					VRAI
2	176		73	32	1	2	2	110	234	Massey S. Geiger Public School					VRAI
2	177		87	31	0	2	0	120	361	Lee Valley Community Hall					VRAI
2	179		70	31	0	3	0	104	222	Whitefish Falls Community Centre					VRAI
2	180		98	60	0	4	0	162	310	Espanola Community Complex					VRAI
2	181		113	36	1	5	0	155	297	Blind River Community Complex					VRAI
